Prompt,Dominant_Topic,Keywords
"ExternalUrl  wide angle photo of a cemetery on fire with many graves, dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor, flames, hd, super realistic, hyper detailed, Photoshoot, high quality, insane details, hyper-detailed -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
simple pixel art ui theme style blank background in a beige and black color -,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"vector graphic, solid background, tauras zodiac character, female queen, realistic, 8k HD, colorful, cinematic lighting, bull, fantasy, powerful, -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Looking down the cyberpunk City, airships shuttle in the air, colorful colors, fog, rainy days, neon lights, Marc Simonetti on artstation8K,HD",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"farmer bitcoin, 8k, cinematic",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
ExternalUrl  ExternalUrl ,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"grey alien that looks like a photograph taken with a high-quality camera. The lighting should be natural and the colors should be vivid but not oversaturated. The image should be detailed and sharp, with a shallow depth of field that emphasizes the subject and blurs the background. The overall tone should be realistic and true to life, with no obvious signs of digital manipulation or artificiality. -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Naomi Campbell, model, vogue, photography, super detail, fashion, light photography, editorial vogue, editorial",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"The Search for the Golden Acorn, illustration, water paint",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"elephant in group with baby , going to drink, full body, side view, sunny day, national geographic, award winner, on Agfa Vista -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a young, hispanic housewife in the 1950s with short straight hair in a bob style, rich mocha skin color, light pastel yellow background, digital color drawing, pop realism style -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"The Search for the Golden Acorn, illustration, water paint",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"male person in a classroom, looking at his labtop, face with lot of fear, horror, pixar style, high quality -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
carpet swatch,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
Jesus as a drag queen on the cross -,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
three different football ball (for coloring),3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"cat,Superman,3d,real -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
man,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
scary gathering of witches and demons,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Photograph of a Tree stump in a rainy forest. Dark and gloomy. Sun setting behind camera. Rain coming down. Detailed and stylised. Wide lens. Photorealistic.,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Face of Wrestling legend Sami Zayn carved into stone, very detailled, 4k",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"vector logo, black and white, friendly fat ninja using a kimono -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"ExternalUrl , cute young woman, pixar character, 3d, cgi, art, blurred yellow background, high resolution, 4K resolution",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"sleek modern one page website for middleware software, ui, ux",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
photorealistic runner sprint on the right side and jogger on the left side -,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
" interactive virtual training, -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
wrapped present with futuristic wrapping paper,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"boxing,gaming,vibes,ksi, Logan Paul",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"realistic hyperealism photorealism hyperdetailed intricately detailed fine detailed rendering of hindu god ram inspired by vidyut jamwal and lord rama pic (carry weapon bow and arrow in his hands) (royal saffron attire with jwellery and hindu king crown), god aura behind head, , mystic 32k cinematic lighting, ultra hd -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"repeating patter, pineapples and mango, fun colors, 169 -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
space and winter,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
a minimal modern logo for a wellness center based on a five point star,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
ExternalUrl  ExternalUrl ,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"D&D serious looking half elf paladin, long white hair, with divine aura in detailed ceremonial armor, and blue clock standing in front of a gothic castle skyline in the background, heroic action pose, d&d fantasy -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
picasso rendition of van gough starry night,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
a native american indian on the plains in the 1700s photograph,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
chinese white dragon tattoo in calligraphy style,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
creditor and debtor discussion -,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Illustration of a tiger make with calligraphy strokes and calligraphy shapes,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a person wearing a nose piercing,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Illustration of a tiger make with calligraphy strokes and calligraphy stripes jungle background front face tiger,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
A hyper-realistic landscape of a forest made out of chocolate.,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
womens face one hand on the face black and white,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a crowd of short stoneage people with East Indian features dark curly hair dark eyes olive colored skin wearing ancient tribal animal skin clothing against an irish landscape no metal no fiber/cloth clothing,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Italian politicians Elly Schlein, Dario Franceschini play the violin under the geodesic dome",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"people dancing at a festival in the desert of los angeles. The overall tone should be realistic and true to life, with no obvious signs of digital manipulation or artificiality -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
ExternalUrl  an exact replica of this woman surrounded by electric full spectrum color smoke and electric wave synesthesia -,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Disney farmer for book,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"light painting of a girl dancing in a rain on top of skyscraper, city in a background, low angle on a girl, red dress, dramatic lighting, -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"poster design, bold, simple, minimalist",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"trump in cyberpunk style, walking in Tokyo",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
high resolution photo of a happy surfer riding a wave in Sri Lanka with WaveAccess logo clearly visible on T-Shirt,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"A baby laying down in a crib , Os Gemeos -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
a logo of someone pouring water from a vase on planet earth,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a photorealistic 4K image, of a psychotherapist in treatment with a child. The psychotherapist is smiling. The treatment takes place in a practice with a lot of flowers and a homely atmosphere in Skandi style. The child is excited and smiling slightly. There are windows in the background, the sky and individual trees are visible in the windows and the sun shines in.",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"logo for a series of dinners name soir\xe9es \xe0 la fran\xe7aise, French food, French wine, fun",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"Dirty Harry walking in the streets of San Francisco with his gun in his hand, animated show style, -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"website home page for a camera rental company, white, black, orange, minimalistic, modern, kodak portra 800, 32k -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"face, little bit twisted, agony , in collorfull flower bed, warhammer 40000, oil painting -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"roses,with long curly stems, with sunshine but not to bright behind them, like a view through a camera lens",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a steampunk cat mechanic, portrait, pixel art style, transparent background -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a logo for a branding agency named greybox creative. flat vector graphic. modern,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"lion and lioness running a marathon, pink, family",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a still from a new wes anderson movie starring president joe biden as a lifeguard at a suburban town pool, frame grab, trailer -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
a modern and minimalistic house in the woods with a padel court and lake view and a parked grey porsche 911,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"4k, full body, samurai with dragon on the background",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a candles of your destiny -,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
generator in the forest,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"32-year-old Indian man, expressive brown eyes, wavy black hair, neatly trimmed beard, warm golden-brown skin, wearing a slim-fit shirt with subtle patterns, tailored pants, polished leather shoes, statement wristwatch, posing with intense posture, leaning slightly forward, furrowing brow, penetrating gaze, urban setting, Dubai skyline background, portrait captured in soft natural lighting, Cinestill 800T film, photorealistic detail, handsome, eye contact, ar 57 q 2 v 5",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Nashville at night, neon signs, hatch show print, Nissan Stadium, Batman building, hyper real photography",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"water paint tiger, clean background, 4k",0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"circle, pastel rainbow stained glass, with stained glass pastel rainbow fairy on the stained glass",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
paint a realistic and epic scene of a prime cowboy warframe suit. The suit is just like a cowboy and super cinematic,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"A biological expedition surprisingly finds modern brutalist architecture in the middle of an unihabited rainforest. High quality photography, expensive DSLR-camera. -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"human, needs, collorfull, oil painting, realistic -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"robot with a cap, cyberpunk style, cinem\xe1tica light, detalles picture, fashion",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
A traditional japanese tattoo showing the samurai Musashi Miyamoto fighting with his sword,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
bar in the rooftop with reclaimed wood and tile. Tropical Graffiti walls,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
fantasy microtextured detailed narrow illustration for tattoo with shades of neon blue of falcon in flight fierce focus -,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"ExternalUrl , 3d, realistic, lovely family, Asian handsome husband and Asian cute wife with two pretty Asian daughters, Pixar style, 8k, soft lighting, blender, The male adult big eyes, short dark hair, light green t-shirt, good mood, laugh, The adult female has long dark hair, side hair bang, shining smiling eyes, good mood, wears a white spaghetti dress, has two dimples, holds the 7 months baby girl. One daughter is three years old, has girly short hair, two braids on each side of her head, big eyes, two dimples, laugh, very happy, and wears a pink flower dress. The other daughter is a seven months old baby, has big eyes, good mood, very happy, wears a light purple dress, dark girly hair, super-resolution, 8k -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
background image of a vintage jungle cartoon HD,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"ExternalUrl  the character of a happy 17 year old boy with red dreadlocks joyful facial expression and beautiful green eyes, top body expression, illustration in Elfen Lied style, full-color, flat illustration style, simple colors, textured, board drawing, procreate, Karolis Strautniekas, Mads Berg, Pixiv -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"ExternalUrl , add a dark background with dark trees forest and angelize the girl with wings in the middle of a gold waterflow full body",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a DOG dressed as a RANDOM OCCUPATION, character, by David Roberts, artstation, behance hd, cgsociety, 3d, realistic, cosmic lights, galaxies, stunning, glowing, spirals, space, nebulae, stars, smoke, iridescent, intricate detail, realistic, detailed, 8k, high resolution, isolated on cosmic background, -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
cartoon art style; a friendly green dinosaur in the blue police uniform; police bage on the uniform; background town;,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
realistic portrait of an axolotl and a fox in the style of American Gothic,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"ExternalUrl  dark classroom caricature, at 17 years old,wide angle full body shot - @andrewbrinkworth (fast)",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
a tiara inspired by house targaryen,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
high resolution hyper realistic watercolor and pencil drawing on print of real Bay of Napoli in Italy -,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a very simple drawing of a burglar dressed in black and with a black cloth mask over his eyes, 4k, ultra realistic",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
realistic photo of naruto in a bamboo forest. -,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
tattoo artist at work,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"hyperreal, professional portrait, 36-year-old Dominican woman, friendly demeanor, 5\7 tall, light brown eyes, long dark brown curly hair, casual beach wear, warm caramel complexion, trendy form fitting tshirt and shorts, outdoors, natural light, punta cana beach background, intricate facial details, approachable expression, photorealism, beautiful, smiling, eye contact Use a Leica Summicron-M 28mm f/2.0 Lens ar 57 q 2 v 5",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
1940s war propaganda poster using terran marine from starcraft 2,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a gnome with a pose in an old forest that is illuminated in purple,",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"fashion model, stunning beautiful, young woman wearing running outfit, scantily dressed. Jogging in Abby Road, London. Model looks; long black hair, blue eyes, good shapes, looks like a mix of Mila Kunis and Carmen Electra. Photography style like Annie Leibovitz, full body photo, instagram flirty, cinematic, extreme details, high quality, photo realisti, 8k, octane render, 35mm, Establishing shot, shot from above, f/2.8, -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"oil painting with brush marks, , in royal court of aliens wearing human royal robes, in large grand musuem looking at paintings and sculptures, rennaisance painting, grand musuem with small people and large scultpures of insects and aliens",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Vogue magazine shoot of an attractive Female tennis player aged 15, tall blonde with blue eyes and lightly curled that flows just beneath the shoulder, wearing a classic old wealth aesthetics low neck tennis dress with mini skirt in light pastel colours, standing and posing on the grass tennis court with eyes looking into the camera, on a warm sunny morning, photo from below full body shot to include the feet, long shot, Color Grading, Depth of Field, dynamic composition, ultra detailed photography, ultra-defined, beautiful detail, atmospheric, cinematic, dramatic lighting, photorealistic, Sony Alpha a7 8k Leica m 35mm lense, Tilt Blur, Shutter Speed 1/ 1000, F/ 22, Super - Resolution, Megapixel, -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"realistic painting of jesus nailed to the cross, red clouds, hyper realistic detail 4k -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"Street style full-body photo of a blondy woman wears nike pink outfit , shot on Fujifilm 400, natural lighting, instagram style -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Goliath race from dungeons and dragons, barbarian causing havoc to a village, wielding greataxe above head",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a vintage barbershop logo for the theme of basement barber, dark green, 4k, high resolution",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"a cool dad, black hair, sunglasses, about 50 years, driving an old mercedes SL cabriolet in silver on a highway in miami in the morning",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"jesus christ playing a 7 string guitar, in front of a cross, with a backing rock band hyperealistic 8k -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"old woman laying on large rocks beside a river, in the style of Melanie Rush, -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"mascot, cartoon, masculine, balikbayan box, 60 years old, filipino",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"youre a curator, top class exhibition designer, tasked to design an exhibition space for an group exhibit about Cyberfeminism, render, ultra realistic -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a chair made from the skin of a corgi dog hyper realistic, photorealistic, super resolution, super detailed photography incredibly detailed, insanely detailed and intricate, 8k -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
lion father,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"eypt pyramids, rain, dessert on fire in the shape of a pentagraml,, cinematic, anamorphic, perfect perspective, photorealistic, fire, smoke, fullbody, guns, wide angle movie still, fire, smoke birds eye view, 1980s -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Dollars transforming into stars in the sky represented as a watercolor painting; inspired by J.M.W. Turner; the scene shows a dreamy night sky with dollars swirling and transforming into shimmering stars; cool color temperature; no faces; diffused lighting; serene atmosphere-,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a spacious world of automation with a lot of orange sensors and cables, photorealistic, 3d, realistic",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Photography, street photography, night street photography, neon signs, Tokyo night, a small Japanese restaurant in Tokyo, front view, in detail, Yuto Yamada photography style, cinematic light, long exposure, beautiful light, dramatic light, extremely detailed and realistic -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"pastel rainbow small horse, with light blue hoofs",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"horse, running, ultra realistic -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"a room staged for a photoshoot, hooped assorted flowers circle the backdrop, candles glow, romantic mood lighting, flowers on the floor, Unreal render, Ultra realistic, -",0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"bee, with small top hat resting in Elon Musks shoulder, cartoon, detailed cartoon, cute, kawai",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"half man, half horse, hyperreal, q 2 v 5",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"create a stunning photo-realistic portrait, waist up to head, of Brandon Prust the former NHL hockey player in semi formal attire, smiling in a transparent background with a 25mm lens, achieve a depth of field with tilt blur and a shutter speed of 1/1000 and f/22. Aim for a photorealistic look with 32k resolution, no words, 8k, HD, cinematography, photorealistic, epic composition, Unreal Engine, Color Grading, interesting angle, cinematic view, 35mm kodak film grain, hyper-detailed, beautifully color-coded, insane details, intricate details, Editorial Photography, Photography, Depth of Field, Tilt Blur, Super-Resolution, Megapixel, ProPhoto RGB, VR, Half rear Lighting Backlight, Dramatic Lighting, Incandescent, Optical Fiber, Moody Lighting, Soft Lighting,",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Sagrada Familia - epic view of Sagrada Familia with neon leds on the columns, in a storm, cyberpunk",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"digital gravity, saturn, music,camera , synthesizer, computer",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"pope balensiaga, Porsche, 8k, HD, CINEMA -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
steampunk zombie on super fast rocket motorcycle in cosmic futuristic city photorealistic cinematic dramatic lighting v5 Highly Detailed kodak VISION3 500T,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
A 1980s photograph of a hot air balloon flying over the serengeti. A middle aged man is saving a woman who has falllen out of the basket. A thirteen year old girl smiles and waves at the camera unaware.,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"serpent, apple, vintage label, biblical, bunch of grapes, vine",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
a beatiful spanish woman drinking a glass of red wine on a balcony with views if the opera house in sydney,1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
President Biden in a suit sitting down playing chess against Putin,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"A beautiful girl dressed as a viking,low cut top, temptation, armor, Nordic tattoos, beautiful, long hair, mountains, snow, wet, dirty, photography, real, Photorealistic -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"ExternalUrl  Charles is crowned, the crown is in yout head, the crown bright.",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"draw a real female, size D, tall, ancient egyptian, wild curly hair, jumping rope, 1800s inter planetary, eating a whopper -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
kraken,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"paper quilling, paper cutout tropical flowers",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"realistic photo of legendary Pok\xe9mon Rayquaza flying in the sky, with lightning dancing around it",0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
ExternalUrl  A banquet hall with banquet tables covered in white table clothes and in the center of each banquet table is a glass vase and tied to each glass vase are 3 foot strings holding floating helium balloons that are pastel colored. Wide angle shot. By Paul Madonna. -,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Portrait, Caucasian 40y man, with beard, oval eyeglasses, smiling, 30s hat, green eyes, black and white picture, cinematographic lights, smoking cigar, Nikon, F 4, iso 100, -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
Realistic image of a Titanfall mech at the window of a Starbucks drive-through. The pod is open and the pilot is reaching down to grab the coffee. The camera view is in front of and to the right of the mech at a distance of about 60 feet.,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"beautiful, sad, young woman seems to have a lot on her mind. realitic photo.",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"A guy in a crown with an athletic build, open torso, hairy body. Another guy open torso, 20 years old, wearing a wreath with flowers, athletic build. Kissing, passion, love. -",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"cartoon dragon hugging a cartoon wolf, cute, bright, high resolution, high detail",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
drawing style,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"Photorealistic version of Donald Trump crying on the playground as a bunch of 9-year-olds tease him, dramatic composition and lighting",0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"Simple Logo, Vector, Color blocking, sunflower ExternalUrl ",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"Cartoon, digital art, highly detailed, full body, wide angle, intricate, Tom Petty 1975 Self portrait with long hair and a purple velvet Mad Hatter hat with a Third Eye on the top middle of it and a long, fat joint with billowing smoke around the face -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
A 90s photo of a mob of grannies with guns running through an urban road. Side view. -,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
ExternalUrl  keep the exact photo and quality but change the color of the trousers to black,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Brasileira wearing modern, realistic, with elegant, futuristic, long and draped dress, floor level, smile, metal dress, long shot, 12, taken using a Canon EOS R camera with a 50mm f/1.8 lens, f/2.2 aperture, shutter speed 1/ 200s, ISO 100 and natural light, Full Body, Hyper Realistic Photography, Cinematic, Cinema, Hyperdetail, UHD, Color Correction, hdr, color grading, hyper realistic CG animation -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
messi kissing cristina kirchner in the lips,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Filter, sine wave graph, green sine wave on the left, blue sine wave on the right, symmetric graph HD realistic-",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"Brasileira wearing modern, realistic, with elegant, futuristic, long and draped dress, floor level, smile, metal dress, long shot, 12, taken using a Canon EOS R camera with a 50mm f/1.8 lens, f/2.2 aperture, shutter speed 1/ 200s, ISO 100 and natural light, Full Body, Hyper Realistic Photography, Cinematic, Cinema, Hyperdetail, UHD, Color Correction, hdr, color grading, hyper realistic CG animation -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"the surface of the moon, space shuttle in background, cinema render , hyperrealistic, photorealistic, highly detailed, -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
anatomy illustration of a medical Musculoskeletal system fully visible front-facing ar 169 -,4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"a young boy standing, wearing the flag of Yemen on his shoulder, he is watching over how sad is the war in Yemen, Shot on a Canon EOS R5 with a 24mm lens, f/1.8, 1/100 shutter speed, and ISO 400. The lighting is a combination of soft and hard light, highlighting the intricate details of the city while also casting dramatic rain. The photo is edited in Lightroom and Photoshop to enhance the colors and details, with a focus on realism and photorealism, realistic style -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
hyper realistic bulldog at a futuristic high school prom dancing neon colors vaporwave pretty kids dancing in background,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"Wrait from Apex Legends, Ethereal, Supernatural, other-worldly, extreme detail. -",2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
black background with sea green contours,3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
"Nike shoe floating through the galaxy, hyper realistic, 8K, Bright lighting -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
