Channel,ID,Prompt,Timestamp
newbies-3,1.07E+18,modern coliseum gym with its architecture and items inspired in the Hellenic culture -,4/27/2023
newbies-3,8.59E+17,give me other exterior designs,4/27/2023
newbies-3,5.74E+17,fantasy portrait dwarf traveler,4/27/2023
newbies-33,1.08E+18,a photograph of a man with a tablet  The background should be a warehoue,4/27/2023
newbies-33,1.09E+18,"half body shot, A short hair cool male holds a basketball on a wooden basketball court, background is a wooden floor basketball court, shoot basketball, taking a shot, NBA court background, black eyes, black jersey, japanese style tattoos, black outfit, nike shoes, nike, confident expressions, happy expressions, looking directly into the camera, anime art by Inoue Takehiko, slam dunk, clean art, Manga look, full-color -",4/27/2023
newbies-33,1.10E+18,"two hungry and happy girls receiving a box of hot pizza from a futuristic flying robotic drone in Krabi, botanical, islands, palm trees -",4/27/2023
newbies-33,9.70E+17,"Chains or restraints  Depict a childs hands or feet being locked or restrained, showing that they are forced to stay in one place to work or suffer physical restrictions and exploitation  ar3 2 -",4/27/2023
newbies-33,1.10E+18,wooden floor; office space; interior design; skyline; candle; firework; gaintic painting,4/27/2023
newbies-33,2.56E+17,coniferous tree drawn in the style of minimalism  Vector graphics — s 0,4/27/2023
newbies-33,1.03E+18,"a logo for letter X, graphic design",4/27/2023
newbies-63,1.06E+18,people eating brisket -,4/27/2023
newbies-63,1.10E+18,"potrait of a pretty woman wearing a Y-shirts, mock up on a beautiful Korean idol like female, She is working from home at a cafe and has a laptop and Starbucks coffee in front of her -",4/27/2023
newbies-63,4.26E+17,"Kermit the frog wearing a MF DOOM mask  Vector color and line art illustration, crisp and clean vector line, flat colors, cell shading, smooth gradients, black contour outline, ultra detailed, vivid colors, HDR, in the style of die - cut stickers -",4/27/2023
newbies-63,7.94E+17,"Best quality, masterpiece, ultra high res, (photorealistic 1 4), raw photo, 1girl, Green tank top with floral maxi skirt,library, Negativesfw ng_deepnegative_v1_75t, ((badhandv4)), (worst quality 2), (low quality 2), (normal quality 2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale)) watermark ENSD  31337, Size  512x768, Seed  3705855002, Model  braBeautifulRealistic_v40, Steps  30, Sampler  DPM++ 2M Karras, CFG scale  7, Clip skip  2, Model hash  9c03252bea, Hires steps  15, Hires upscale  2, Hires upscaler  R-ESRGAN 4x+, Denoising strength  0 36",4/27/2023
newbies-63,5.40E+17,"Neon cityscape A vibrant and colorful sticker featuring the towering skyscrapers of a futuristic, neon-lit metropolis  Think Blade Runner sticker",4/27/2023
newbies-63,6.36E+17,"Spiritual Oracle Deck template design, Hoodoo, Voodoo, Conjure, Cowrie shell, beautiful, intentional",4/27/2023
newbies-63,5.22E+17,"carpet but made of stone, capet is made of a stone texture ",4/27/2023
newbies-93,1.10E+18,"watercolor pitcher of lemonade with mason jar of lemonade with sweat on the glass next to it, a couple of lemons and lemon slices, mint leaves, white background -",4/27/2023
newbies-93,9.10E+17,"Create a realistic and detailed gamer image of a Call of Duty Warzone character holding two bombs in their hands, with a fiery background ",4/27/2023
newbies-93,6.46E+17,"Galaxy space war scene with small and large ships in a dark, evil galaxy ",4/27/2023
newbies-93,1.07E+18,"architecture visualization of an art installation that looks like flower made from luminous glass, flowers blooming popping out from the glass petals, surrounded by pastel color forest  Dreamy, mystic, hyperrealism, photorealistic render, hyperrealistic, photo cinematic, raytracing reflections, depth of field, 8K ultra HD -",4/27/2023
newbies-17,8.20E+17,photo of a coffee drinking competition in a post-apocalyptic indie cafe ,4/27/2023
newbies-17,5.34E+17,"psychedelic bright fantastic mushrooms, pencil and marker sketch, bright colors, white background -",4/27/2023
newbies-17,1.09E+18,the human eye real picture Image quality 4k clear -,4/27/2023
newbies-17,1.07E+18,"logo eiffel tower neon colors, white background",4/27/2023
newbies-17,1.10E+18,"watercolor, beautiful white mother in pastel color dress, happy, pregnamt, placing arms lovingly on her belly, clipart hd, 8k, -",4/27/2023
newbies-17,4.54E+17,poker players betting but in a football game situation -,4/27/2023
newbies-17,5.51E+17,"godzilla attacking a naval ship, in the style of aggressive digital illustration, tiago hoisel, detailed character expressions, low depth of field, peter mitchev, pigeoncore, explosion -",4/27/2023
newbies-47,6.77E+17,"great pyrenees, minimalistic, boho, cute, fine line -",4/27/2023
newbies-47,6.90E+17,"ultra-realistic 8k portrait, Urguayan soccer player, black skin colour, black short curly hair",4/27/2023
newbies-47,9.67E+17,"style of surreal horror, hyperdetailed illustration, made of safety pins layered lines painting demonstrating different colors flowerpunk chaotic expressionism in the style of monochromatic ink washes digital and glitchy in the style of collaged landscape refractive surface exaggerated figures calotype found footage in the style of installation art photorealistic detail neon makeup production stills   942937a vs  942937b in the style of harold edgerton playful use of negative space",4/27/2023
newbies-47,7.74E+17,"toddler crying in pre-school over broken toy, wes anderson film style, -",4/27/2023
newbies-47,1.10E+18,"water marble, GUNDAM, mechanical, Blue and yellow lines on a white background, 3D render",4/27/2023
newbies-47,1.10E+18,"a single sofa, scandinavian style -",4/27/2023
newbies-47,1.09E+18,"linocut, sun, minimalist, boho",4/27/2023
newbies-77,9.32E+17,boho constellation background pink blue turquoise gold colors,4/27/2023
newbies-77,3.56E+17,"pikachu , Standing, facing camera, staring at lens, 8k -",4/27/2023
newbies-77,5.96E+17,A man in a helmet -,4/27/2023
newbies-77,1.08E+18,"oil painting in the style of Ross Watson of the most beautiful 17 year old girl in the world, very long free- flowing blonde hair, extremely muscular- defined, wearing short shorts, walking on the beach  In the background, beautiful large waves, very colorful painting vivid and vibrant brilliant illustration of colors throughout the painting, beautiful white, fluffy clouds in the background, her skin is Golden tan  Her outfit is pink and white  Hyper realism, cinematic lighting, volumetric lighting, soft shadows in 8K  -",4/27/2023
newbies-77,7.76E+17,a single cartoon red and black casino chip,4/27/2023
newbies-77,1.07E+18,"young brother and sister surfing illustration, each child is surfing on their own surfboard, each child is facing the viewer as they surf, an island and sunset are in the background, rich vibrant colors, 4K, 3D style, Pixar style, Disney style, detailed, cinematic lighting, vertical format, book cover -",4/27/2023
newbies-13,1.07E+18,"holographic interface terminals in a mining area, by Jane Smith, digital art contest winner, advanced technology, immersive gameplay, sci-fi aesthetics, video game environment design, control systems for mining equipment, data access points, futuristic workspaces, innovative interaction designs -",4/27/2023
newbies-13,5.98E+17,"a 25 year old female European happy student in front of his class, in the back a big screen with trading graphics  Photorealistic, unreal engine, hyper detailed, hdr, octane render, 8k, v-ray, 600mm lens, Sony Alpha, cinematic, high detail, -",4/27/2023
newbies-13,5.32E+17,"razor sharp detailed pen and ink, color drawing, Intricate, inexplicable, fantastic, enigmatic The Witch, The Empress, The Sorceress and The Queen of Night and the Queens of the Five Elements in the style of Miro, in the style of Benton -",4/27/2023
newbies-13,1.08E+18,clean minimalistic expensive watch half visible under the cuff of a white shirt; photo realistic image; high quality; -,4/27/2023
newbies-13,1.04E+18,illustration in Pixar style of woman playing acoustic guitar  Solid colour background ,4/27/2023
newbies-13,8.45E+17,create a realistic image of an eco-friendly destination highlight - A beautiful eco-lodge in Costa Rica  Use a Nikon D850 DSLR camera  Use Midjourney v5 with photorealism mode turned on ,4/27/2023
newbies-13,1.03E+18,"closeup photograph of joe biden covered in chicken feathers, half man half chicken, extreme detail, studio photo, specular lighting, neon colors -",4/27/2023
newbies-43,1.09E+18,"kid smiling, photorealistic, hyper realistic photo portrait -",4/27/2023
newbies-43,2.86E+17,"Sagittarius woman, Scorpio man, in love, adventure, nature, water, fire, island , escape",4/27/2023
newbies-43,8.90E+17,"Latina woman kissy lips, flirty, colored manga style, ultra detailed, Nisio Isin, sharp colors, hazy, eiichiro oda",4/27/2023
newbies-43,2.93E+17,"beautiful Scandinavian living room, with large windows, and crepuscular sunlight rays neutral, tones, modern minimalistic -",4/27/2023
newbies-43,1.10E+18,a men standing near the windows waiting for a women glass reflection self protrait colour sparkle warm sky tones -,4/27/2023
newbies-43,6.38E+17,"Sad, lonely, blue rust silver, Maya Hawke, Charlize Theron, alone in the back of a black car, trying not to cry, clean face, cinematic lighting, photoreal, blonde 20-year-old female -",4/27/2023
newbies-43,4.81E+17,"parking for cars minimalistically futuristic parking for 1500 cars with landscaping with places for disabled people and special equipment many entrances and exits in detail ultra realistic  To capture this impactful moment, the photographer may have used a high-resolution DSLR camera, such as a Nikon D850 or a Canon EOS 5D Mark IV, paired with a versatile telephoto lens, such as a Nikon AF-S 70-200mm f/2 8E FL ED VR lens or a Canon EF 70-200mm f/2 8L IS III USM lens  -",4/27/2023
newbies-43,1.09E+18,"Fantasy art featuring the woman in the forest facing the pig, A huge cute pig facing a person, huge white pig head facig the viewer, the forest in the middle of summer, huge, first person perspective, sunny forest, ultra wide anlge, ultra low angle shot, panorama, impactful picture, dynamic expressive force, cinematic shock, realistic lighting, by Alphonse Mucha, Arthur Rackham, James Jean, and Victo Ngai, Dan Mumford, depth of field, huge, detailed painting Ink and wash style, gilt, oblique composition, bold, line art, brushwork, contours, beyond, fluid Wide angle shots, incredible detail, sharpening, crazy detail, vivid, 8k, rich detail, artistically realistic, stormy forestcapes, i cant believe how beautiful this is, meticulously detailed, -",4/27/2023
newbies-43,5.51E+17,an image being segmented into components selecting the component to delete -,4/27/2023
newbies-73,1.07E+18,"A stack of boxes with different sizes and colors, showing various custom packaging solutions  -",4/27/2023
newbies-73,4.88E+17,"an artistic interpretation of the goddess of life portrayed as a ethereally beautiful 35yo woman with blond hair wearing an olive wreath  Incorporate elements of Renaissance fashion and Leonardo da Vincis sfumato technique into the artwork  Emphasize the goddesss enigmatic smile, ethereal beauty, intense gaze, and the flowers in her hair  The final image should blend the iconic features of both the goddess of life and the beautiful woman in a visually captivating manner  Realistic  -",4/27/2023
newbies-73,9.68E+17,"Against a romantic, fairytale-like background, a charming cat poses gracefully with a heart-shaped pendant around its neck  The cats mesmerizing eyes draw attention to the NASA x Nike logo on the pendant  The text overlay reads  Discover Love in the Universe - The Nike x NASA Collection  The image is vibrant and engaging, perfect for a digital advertisement  — ar 9 16 — s 750 — v 5",4/27/2023
newbies-26,1.10E+18,"To start, we would need to determine the size of the dome that would be suitable for your needs  A dome with a diameter of 30-35 feet would be a good size for a comfortable living space  For the structure of the dome, we would use a wooden frame made of sturdy and durable timber such as cedar, redwood or Douglas fir  The frame would consist of a series of triangles that are connected together to form a geodesic shape  This will provide strength and stability to the structure, making it resistant to the strong winds and snow loads that can occur in the southern region of Chile  To let in natural light and provide a stunning view of the Andes mountains, we can incorporate large glass windows into the design  These windows can be strategically placed around the dome to allow for maximum sunlight and views, while also maintaining the structural integrity of the dome  In terms of insulation, we would use high-quality materials to ensure the dome stays warm during the colder months  This could include using rigid foam insulation, double-pane windows and energy-efficient heating systems  Overall, this geodesic dome with a wooden frame and glass windows would be a beautiful and functional living space that would allow you to fully appreciate the natural beauty of the southern region of Chile ",4/27/2023
newbies-26,1.07E+18,a modern gradient background with varying shades of blue for website and powerpoint slides -,4/27/2023
newbies-26,1.09E+18,"close photos 8k of muscular dogs lifting weights in a gym, -",4/27/2023
newbies-26,6.87E+17,"Tattoo with the date in years, with the background of a road with mountains, for the arm with Japanese style",4/27/2023
newbies-26,1.10E+18,"interior home office scene illustrated in the style of concept art for animation, mid century modern design style, saturated plain colors, texture, matte painting, drawing, detailed, New York City, night time, Gallery wall framed graphic art prints, leather and wood, built in shelves, warm lighting from lamps, cluttered-",4/27/2023
newbies-26,6.75E+17,"Animated film Fantasia, with Freddie Kruger from Nightmare on Elm Street as the main character ",4/27/2023
newbies-26,7.00E+17,"Create a Soviet Realism-style YouTube thumbnail for a video on Marxist texts about the LGBTQ movement, with Marx and Engels as prominent features  Include the Communist Hammer and Sickle symbol, and blend Bolshevik Revolution and Pride flag colors  Add relevant visuals such as Angela Davis, Audre Lorde, and socialist or LGBTQ movement imagery  Ensure the design is visually impactful and aligned with the video content",4/27/2023
newbies-26,1.09E+18,"For a logo design for a zoo, you could consider using line art animals inside a circle  The animals could overlap slightly in some areas, and each animal could be drawn in a different color to create a dynamic and playful effect  Its important to choose animals that are commonly found in zoos, such as lions, tigers, elephants, giraffes, and so on  Additionally, you could add the name of the zoo in a simple and clean font outside of the circle to complete the design  -",4/27/2023
newbies-26,5.30E+17,animated Baby angel holding ak gun pendant 3d,4/27/2023
newbies-26,1.01E+18,"STYLE  French light luxury fashion style | GENRE  The open plan living area is preceded by a floor-to-ceiling electric fireplace in clear glass and the dining area is reared, with elegant and stylish furniture, natural stone and a soothing color palette | EMOTION  Welcoming | SCENE  An open-plan living and dining area with elegant and stylish furniture, natural stone and a muted color palette | TAGS  modern chic elegance airy luxury luxury soft curves comfort | CAMERA  Canon EOS R6 | FOCAL LENGTH  20mm | SHOT TYPE  Split-level | COMPOSITION  Rule of Thirds, with the living area on the upper level and the dining area on the lower level | LIGHTING  Natural light from large windows and sliding glass doors, complemented by pendant lights and floor lamps | MATERIALS  Light wood flooring, white walls, and a mix of natural and synthetic fabrics | DECORATIONS  Elegant Artwork, CHANEL, GUCCI, Bronze Metal Accents | ROOM SIZE  Split- level open-concept living and dining area | WINDOW TREATMENT  Large windows and sliding glass doors with adjustable, sheer curtains SEATING  white sofa by roche-bobois | TABLES  The dining table is an 8-seater marble dining table surrounded by modern chairs | ELECTRONIC FIREPLACE The Opti-myst electronic fireplace is placed between the sofa and the dining table, and the top is transparent glass with a stylish texture | TIME  Late morning | LOCATION TYPE  Interior | POST-PROCESSING  Enhanced brightness and clarity, boosted vibrancy of colors, and increased contrast for depth  -",4/27/2023
newbies-26,7.51E+17,snap dragon 2d simplified outline vector no colour monochorm coloring page depicting on the white background  signature text border frame logo name headline watermark gradient shading greyscale  -0 3 style of by by Kate Kyehyun Park-,4/27/2023
newbies-26,1.09E+18,a futuristic french provincial laundromat store fit,4/27/2023
newbies-56,1.09E+18,"square background for instagram account, in black, gray and yellow, brutal style, friendly -",4/27/2023
newbies-56,8.52E+17,Cinematic image of Smokey the University of Tennessee Mascot in a dungeons and dragons setting as a bard with a cowboy hat and guitar,4/27/2023
newbies-56,8.45E+17,hemodialisis machinne,4/27/2023
newbies-56,1.05E+18,Idris Elba as John Stuart from Green Lantern  Canon EOS Mark V 50mm lens,4/27/2023
newbies-56,1.10E+18,a marble statue of  4th,4/27/2023
newbies-56,3.48E+17,closeup of a porcupine with orange bioluminescent spines,4/27/2023
newbies-86,7.20E+17,"a black, magenta, and white image of a flooded city with a small boat floating in the center in the style of a tarot card",4/27/2023
newbies-86,1.10E+18,cat -,4/27/2023
newbies-86,1.10E+18,"indian woman, smiling, black hair, standing outside on a sunny day v 5",4/27/2023
newbies-86,7.87E+17,"flat icon, scroll, human head, gold, yellow, white, plum",4/27/2023
newbies-113,1.06E+18,"Create a high definition 4k hyper-realistic photograph depicting a crowded European football stadium with a lively crowd cheering  In the stands, there should be a cow in the foreground, surrounded by many people, standing with raised legs and dancing, with a joyful expression on its face  The soccer field and players should be visible in the background, adding to the sense of excitement and energy of the scene  in the style of hip-hop culture exploration, diana f+, photo-realistic, spontaneous gesture, 1970–present, photo taken with nikon d750, black and white -",4/28/2023
newbies-113,6.12E+17,"man holding a bat, wearing red shirt and black pants",4/28/2023
newbies-113,1.10E+18,a studio ghibli style drawing of a 3 year old blonde haired boy and a very small 2 year darker blonde haired girl playing together in a creek with a frog,4/28/2023
newbies-113,7.23E+17,"simple vector with outlines of plastic toy flower, adobe illustrator style -",4/28/2023
newbies-113,7.28E+17,renaissance pen sketch of hands reaching out towards each other before holding hands  leonardo da vinci sketch inspired,4/28/2023
newbies-113,1.08E+18,stars in the universe -,4/28/2023
newbies-113,9.97E+17,"a powerful scene of a woman standing on a big stage, holding her guitar and playing music to a huge crowd  She is the center of attention, and the audience is captivated by her performance  Visualize the details of her outfit, the way she holds her guitar, and the expressions on the faces of the people in the crowd ",4/28/2023
newbies-113,2.37E+17,a tattoo of a green and blue snake on the wrist,4/28/2023
newbies-113,1.09E+18,"Female horned nature goddess,, 8k",4/28/2023
newbies-143,1.08E+18,"cute and adorable image of a Mother elephant with her baby, clipart",4/28/2023
newbies-143,1.10E+18,"the portrait photo in an editorial style beach photoshoot of an incredibly handsome 25 years old Korean male model wearing a brief swimming suit and showing his great body full of visible abs, standing on the beach, Korean male model, Lee Min Ho, Cha Eun Woo, handsome, visible abs, beach, summer, brief, swimming suit, editorial, hyper-realistic, stunning, flawless, attractive, youthful, fit, charming, The models skin should be smooth and flawless, with the abs clearly defined and visible  The water droplets on his skin and the sand on his feet should be highly detailed  Camera type  High-end DSLR camera, Camera lens  Prime lens with a focal length of 50mm or 85mm, Time and day  Summer late afternoon, when the light is soft and warm, Style of photograph  Editorial-style beach photoshoot, with the model posing in various dynamic and attractive ways, Photographer reference  Tim Walkers editorial style, with a focus on dramatic and imaginative shots, Type of film  High-quality digital RAW files, Camera settings  Aperture f/2 8-f/5 6 for a shallow depth of field and bokeh, ISO 100-400 for minimal noise, and a fast shutter speed to freeze the models movement, Post-processing techniques  Fine-tune the color balance, contrast, and exposure to achieve a warm and natural look, Enhance the models features and skin details without making them look artificial, Hyper-realistic image  The image must contain a highly-detailed photograph, with every feature of the models body and face clearly visible and sharply defined, hyper-realistic, 8k, -",4/28/2023
newbies-143,6.96E+17,disco ball carousel horse,4/28/2023
newbies-143,9.71E+17,impressive soccer field at night,4/28/2023
newbies-143,9.74E+17,a classic car on A broad highway surrounded by desert in beautiful sunny day cell anime -,4/28/2023
newbies-143,5.45E+17,"fat steampunk clockwork shrike, dynamic lighting, brass and copper",4/28/2023
newbies-173,4.81E+17,"a black t-shirt with a muscular man in the center with both arms fully tattooed, hyper realistic, with a background full of neon style lightning, full of colors  Inspiring motivation, for the gym",4/28/2023
newbies-173,4.27E+17,"a 45 angle view photo from the front of a DMC DeLorean car from Back to the Future movie surrounded by lights, parked in Hill Valley central plaza in 1985 scenario near the clock tower, night ambience, long shutter speed, blue color scheme, cinematic, -",4/28/2023
newbies-173,1.00E+18,apocalyptic sky in a place like lanzarote with rock,4/28/2023
newbies-173,7.01E+17,An angry bad monkey dressed as a muay thai fighter is giving a high kick  No background   cartoon  1 -,4/28/2023
newbies-173,1.10E+18,"brooklyn bridge, dramatic lighting -",4/28/2023
newbies-3,1.05E+18,"curly dark haired woman writing at desk with cute rabbit companion, bunny, illustration linocut, atmoshperic lighting, candle, bookshelf background, high detail, dark academia style",4/28/2023
newbies-3,1.10E+18,steam punk cat,4/28/2023
newbies-3,1.09E+18,"Using a dynamic soft look and feel to reflect the luxury of the crystal pieces, using soft fabrics & golden frames to give a classical yet trendy twist to the scenes  A biracial mixed race Kate Upton may be included in the scenes to make the size of the pieces obvious  Moody, Luxurious, Opulent, Sophisticated, Regal, Mirrorless, 35mm prime lens, Mid-day, Soft, diffused lighting with warm tones, N/A (digital)  Hyper realistic picture, 4k, lot of details -",4/28/2023
newbies-3,5.13E+17,luchador mask that resembles a lion  Must have openings for mouth and eyes ,4/28/2023
newbies-3,1.09E+18,"realistic photo of dark bleu, light pink and black markers, watercolor effect, no background",4/28/2023
newbies-3,1.07E+18,real dragon on medieval chateau in the sky -,4/28/2023
newbies-3,5.87E+17,"young modern girl, street casual style, unloading with holy symbols, modern assault rifle   -",4/28/2023
newbies-3,6.91E+17,"the houses are on either side of the road, in the style of marble sculpture, alla prima, panorama, lightbox, patience of a saint, detailed marine views, strong chiaroscuro -",4/28/2023
newbies-3,8.27E+17,a minimalist logo style stork bird with a blanket in its beak  Red background v 5 -,4/28/2023
newbies-33,7.04E+17,"pulp illustration, 70’s style, oil painting, black dealer, High detail, -",4/28/2023
newbies-33,8.69E+17,"Grainy CCTV footage shot from an overhead camera in the corner of the room filming a woman cleaning with a cordless vacuum machine the laboratory, -",4/28/2023
newbies-33,1.10E+18,"Jean-michael basquiat, evil, oil paint, red eyes, full body shot",4/28/2023
newbies-33,1.06E+18,"A photorealistic pair of Skechers, based on traditional Phulkari embroidery ",4/28/2023
newbies-33,1.07E+18,"detailed purple rose, royal blue heart infused background, 40k production -",4/28/2023
newbies-63,9.06E+17,"chibi demon boy with curly high top fade, white background -",4/28/2023
newbies-63,3.00E+17,"photo, 4 tabletop role playing game young white male and female players in casual clothes at the table with sheets and D&D dice, players excited and surprised, players look at one of them, he is game master, one player points at master surprised, master tells a suspense story, master has a tabletop game screen, in the center  cloud with vision of 3 fantasy characters fighting a dragon in a dungeon -",4/28/2023
newbies-63,4.99E+17,lightworker holding iridescent bubble in a world destroyed,4/28/2023
newbies-63,4.64E+17,"Hypercube Icon, rotated, Vector Icon, line art, single stroke, line art Tesseract icon, vector line art simple, 11-layers -",4/28/2023
newbies-63,9.03E+17,tiger that is green with white stripes next to pool table,4/28/2023
newbies-63,1.07E+18,"watercolour beautiful cactus, delicate, seamles pattern -",4/28/2023
newbies-93,1.10E+18,"sophisticated watercolor circular logo in the style of van gogh, floral border including beautiful flowers and eucalyptus stems, beautiful and quaint white farmhouse with a front porch -",4/28/2023
newbies-93,4.04E+17,landscape fabric -,4/28/2023
newbies-93,1.08E+18,"old-fashioned tv shows scheme of h 265 videocodec, there are wires around tv, some of wires connected to TV, white background",4/28/2023
newbies-93,1.09E+18,mountain scene with forest,4/28/2023
newbies-17,1.10E+18,"A black and white sticker of a giant panda eating bamboo is inspired by the works of Ansel Adams  The image is captured with a 50mm lens, and the focus is on the pandas face, which is partially hidden behind the bamboo leaves  The texture of the leaves is clearly visible, with the lines and patterns adding depth to the image  The black and white tones create a classic look, with a slight contrast that enhances the details  The pandas expression is peaceful, with a sense of tranquility emanating from the image  The lighting is natural, with the sun shining through the leaves, casting soft shadows on the pandas face  -",4/28/2023
newbies-17,8.16E+17,colorful Shih tzu,4/28/2023
newbies-17,1.10E+18,"russian kosmonaut on the moon, spaceship, ussr flag, photorealistic, sad, danger  -",4/28/2023
newbies-17,1.07E+18,"someone recognizing the signs of mental health, professional, behavior, mood, physical symptoms, white transparent background",4/28/2023
newbies-17,1.09E+18,"Anime art, high upper angle upper body portrait of a long haired princess girl look back in a nightstreet, crying, in the style of ross tran, vray, light violet and gold, golden age illustrations, andrzej sykut, bold us of light, eye - catching detail, intricate embellishments, enchanted atmosphere, strong multi - color bokeh light -",4/28/2023
newbies-17,1.03E+18,Create AI-generated 3D art/sculpture using Midjourneys AI art generator ,4/28/2023
newbies-17,7.80E+17,"Group of kids having fun on a putting green with red flag in the hole  cartoon style, bright vivid colors, cute -",4/28/2023
newbies-17,1.09E+18,"japanese manga style, use shades of brwon and green, in a laboratory, brwon haired boy wearing detective clothes with detective hat on his head and holding a magnifying glass with his hand sitting on a chair next to an old loving woman wearing a red lipstick and smiling in a front of a table",4/28/2023
newbies-47,7.52E+17,"anime indian woman soldier carrying two futuristic laser riffles powered by a large backpack, lavender armour, energy portal in the background, deadly, energetic -",4/28/2023
newbies-47,1.10E+18,"jasper jones 117number, cartoon digital art, oil on canvas, trending on artstation, octane render",4/28/2023
