Channel,ID,Prompt,Date,Tokenized Text,Adjectives Removed,Stemmed Tokens
newbies 63,1.07E+18,male person in a classroom  looking at his labtop  face with lot of fear  horror  pixar style  high quality  ,3/29/2023,"['person', 'classroom', 'looking', 'face', 'lot', 'fear', 'horror', 'pixar', 'style', 'quality']","['person', 'classroom', 'looking', 'face', 'lot', 'fear', 'horror', 'pixar', 'style', 'quality']","['person', 'classroom', 'look', 'face', 'lot', 'fear', 'horror', 'pixar', 'style', 'qualiti']"
newbies 63,1.07E+18,a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,3/29/2023,"['line', 'design', 'logo', 'jungle', 'savage', 'theme', 'god', 'luck', 'fortune', 'decentralized', 'finance', 'cryptocurrency', 'platform', 'titled', 'totum', 'finance']","['line', 'design', 'logo', 'jungle', 'savage', 'theme', 'luck', 'fortune', 'decentralized', 'finance', 'cryptocurrency', 'platform', 'titled', 'totum', 'finance']","['line', 'design', 'logo', 'jungl', 'savag', 'theme', 'god', 'luck', 'fortun', 'decentr', 'financ', 'cryptocurr', 'platform', 'titl', 'totum', 'financ']"
newbies 63,8.46E+17,carpet swatch,3/29/2023,"['carpet', 'swatch']","['carpet', 'swatch']","['carpet', 'swatch']"
newbies 93,1.03E+18,Jesus as a drag queen on the cross  ,3/29/2023,"['jesus', 'drag', 'queen', 'cross']","['jesus', 'drag', 'cross']","['jesu', 'drag', 'queen', 'cross']"
newbies 93,1.08E+18,three different football ball  for coloring ,3/29/2023,"['three', 'football', 'ball', 'coloring']","['three', 'football', 'ball', 'coloring']","['three', 'footbal', 'ball', 'color']"
newbies 93,1.09E+18,cat Superman 3d real  ,3/29/2023,"['cat', 'superman', '3d']","['cat', 'superman', '3d']","['cat', 'superman', '3d']"
newbies 93,1.09E+18,man,3/29/2023,['man'],['man'],['man']
newbies 93,1.81E+17,scary gathering of witches and demons,3/29/2023,"['gathering', 'witches', 'demons']","['gathering', 'witches', 'demons']","['gather', 'witch', 'demon']"
newbies 93,8.15E+17,Photograph of a Tree stump in a rainy forest  Dark and gloomy  Sun setting behind camera  Rain coming down  Detailed and stylised  Wide lens  Photorealistic ,3/29/2023,"['photograph', 'tree', 'stump', 'forest', 'dark', 'sun', 'setting', 'behind', 'camera', 'rain', 'coming', 'detailed', 'stylised', 'wide', 'lens']","['photograph', 'stump', 'dark', 'sun', 'setting', 'behind', 'camera', 'rain', 'coming', 'detailed', 'lens']","['photograph', 'tree', 'stump', 'forest', 'dark', 'sun', 'set', 'behind', 'camera', 'rain', 'come', 'detail', 'stylis', 'wide', 'len']"
newbies 93,2.56E+17,Face of Wrestling legend Sami Zayn carved into stone  very detailled  4k,3/29/2023,"['face', 'wrestling', 'sami', 'zayn', 'carved', 'detailled', '4k']","['face', 'wrestling', 'zayn', 'carved', 'detailled', '4k']","['face', 'wrestl', 'sami', 'zayn', 'carv', 'detail', '4k']"
newbies 93,1.07E+18,vector logo  black and white  friendly fat ninja using a kimono  ,3/29/2023,"['vector', 'fat', 'ninja', 'using', 'kimono']","['vector', 'fat', 'ninja', 'using', 'kimono']","['vector', 'fat', 'ninja', 'use', 'kimono']"
newbies 93,1.07E+18,EXTERNALURL   cute young woman  pixar character  3d  cgi  art  blurred yellow background  high resolution  4K resolution,3/29/2023,"['externalurl', 'cute', 'woman', 'pixar', 'character', '3d', 'art', 'blurred', 'background', 'resolution', '4k', 'resolution']","['externalurl', 'woman', 'pixar', 'character', '3d', 'art', 'blurred', 'background', 'resolution', '4k', 'resolution']","['externalurl', 'cute', 'woman', 'pixar', 'charact', '3d', 'art', 'blur', 'background', 'resolut', '4k', 'resolut']"
newbies 3,4.10E+17,sleek modern one page website for middleware software  ui  ux,3/29/2023,"['one', 'page', 'website', 'middleware', 'software', 'ux']","['one', 'page', 'website', 'middleware', 'software']","['one', 'page', 'websit', 'middlewar', 'softwar', 'ux']"
newbies 3,7.72E+17,photorealistic runner sprint on the right side and jogger on the left side  ,3/29/2023,"['runner', 'sprint', 'side', 'jogger', 'side']","['runner', 'side', 'jogger', 'side']","['runner', 'sprint', 'side', 'jogger', 'side']"
newbies 3,1.05E+18, interactive virtual training   ,3/29/2023,['training'],['training'],['train']
newbies 3,1.09E+18,wrapped present with futuristic wrapping paper,3/29/2023,"['wrapped', 'wrapping', 'paper']","['wrapped', 'wrapping', 'paper']","['wrap', 'wrap', 'paper']"
newbies 3,1.09E+18,boxing gaming vibes ksi  Logan Paul,3/29/2023,"['boxing', 'gaming', 'vibes', 'ksi', 'logan', 'paul']","['boxing', 'gaming', 'vibes', 'ksi', 'logan', 'paul']","['box', 'game', 'vibe', 'ksi', 'logan', 'paul']"
newbies 3,1.09E+18,realistic hyperealism photorealism hyperdetailed intricately detailed fine detailed rendering of hindu god ram inspired by vidyut jamwal and lord rama pic  carry weapon bow and arrow in his hands   royal saffron attire with jwellery and hindu king crown   god aura behind head    mystic 32k cinematic lighting  ultra hd  ,3/29/2023,"['hyperealism', 'photorealism', 'hyperdetailed', 'intricately', 'fine', 'rendering', 'hindu', 'god', 'ram', 'inspired', 'vidyut', 'jamwal', 'lord', 'rama', 'pic', 'carry', 'weapon', 'bow', 'arrow', 'hands', 'royal', 'saffron', 'attire', 'jwellery', 'hindu', 'king', 'god', 'aura', 'behind', 'head', '32k', 'lighting', 'hd']","['hyperealism', 'photorealism', 'hyperdetailed', 'intricately', 'rendering', 'hindu', 'god', 'ram', 'inspired', 'vidyut', 'jamwal', 'lord', 'rama', 'pic', 'carry', 'weapon', 'bow', 'arrow', 'hands', 'saffron', 'attire', 'jwellery', 'hindu', 'king', 'god', 'aura', 'behind', 'head', '32k', 'lighting', 'hd']","['hyper', 'photor', 'hyperdetail', 'intric', 'fine', 'render', 'hindu', 'god', 'ram', 'inspir', 'vidyut', 'jamwal', 'lord', 'rama', 'pic', 'carri', 'weapon', 'bow', 'arrow', 'hand', 'royal', 'saffron', 'attir', 'jwelleri', 'hindu', 'king', 'god', 'aura', 'behind', 'head', '32k', 'light', 'hd']"
newbies 3,8.10E+17,repeating patter  pineapples and mango  fun colors  169  ,3/29/2023,"['repeating', 'patter', 'pineapples', 'mango', 'fun', 'colors', '169']","['repeating', 'patter', 'pineapples', 'mango', 'fun', 'colors', '169']","['repeat', 'patter', 'pineappl', 'mango', 'fun', 'color', '169']"
newbies 3,1.57E+17,space and winter,3/29/2023,"['space', 'winter']","['space', 'winter']","['space', 'winter']"
newbies 3,1.03E+18,a minimal modern logo for a wellness center based on a five point star,3/29/2023,"['logo', 'wellness', 'center', 'based', 'five', 'point', 'star']","['logo', 'wellness', 'center', 'based', 'five', 'point', 'star']","['logo', 'well', 'center', 'base', 'five', 'point', 'star']"
newbies 3,7.99E+17,D&D serious looking half elf paladin  long white hair  with divine aura in detailed ceremonial armor  and blue clock standing in front of a gothic castle skyline in the background  heroic action pose  d&d fantasy  ,3/29/2023,"['&', 'looking', 'half', 'elf', 'paladin', 'hair', 'divine', 'aura', 'armor', 'clock', 'standing', 'front', 'castle', 'skyline', 'background', 'heroic', 'action', 'pose', '&', 'fantasy']","['&', 'looking', 'half', 'elf', 'hair', 'divine', 'aura', 'armor', 'clock', 'standing', 'skyline', 'background', 'action', 'pose', '&', 'fantasy']","['&', 'look', 'half', 'elf', 'paladin', 'hair', 'divin', 'aura', 'armor', 'clock', 'stand', 'front', 'castl', 'skylin', 'background', 'heroic', 'action', 'pose', '&', 'fantasi']"
newbies 3,5.60E+17,picasso rendition of van gough starry night,3/29/2023,"['rendition', 'van', 'gough', 'starry', 'night']","['rendition', 'van', 'gough', 'starry', 'night']","['rendit', 'van', 'gough', 'starri', 'night']"
newbies 3,7.69E+17,a native american indian on the plains in the 1700s photograph,3/29/2023,"['indian', 'plains', '1700s', 'photograph']","['plains', '1700s', 'photograph']","['indian', 'plain', '1700', 'photograph']"
newbies 3,6.90E+17,chinese white dragon tattoo in calligraphy style,3/29/2023,"['dragon', 'tattoo', 'calligraphy', 'style']","['dragon', 'tattoo', 'calligraphy', 'style']","['dragon', 'tattoo', 'calligraphi', 'style']"
newbies 3,1.09E+18,creditor and debtor discussion  ,3/29/2023,"['creditor', 'debtor', 'discussion']","['creditor', 'debtor', 'discussion']","['creditor', 'debtor', 'discuss']"
newbies 3,1.09E+18,a person wearing a nose piercing,3/29/2023,"['person', 'wearing', 'piercing']","['person', 'wearing', 'piercing']","['person', 'wear', 'pierc']"
newbies 33,8.26E+17,A hyper realistic landscape of a forest made out of chocolate ,3/29/2023,"['landscape', 'forest', 'made', 'chocolate']","['landscape', 'made', 'chocolate']","['landscap', 'forest', 'made', 'chocol']"
newbies 33,1.07E+18,womens face one hand on the face black and white,3/29/2023,"['womens', 'face', 'one', 'hand', 'face']","['womens', 'face', 'one', 'hand', 'face']","['women', 'face', 'one', 'hand', 'face']"
newbies 33,1.09E+18,a crowd of short stoneage people with East Indian features dark curly hair dark eyes olive colored skin wearing ancient tribal animal skin clothing against an irish landscape no metal no fiber cloth clothing,3/29/2023,"['crowd', 'stoneage', 'people', 'east', 'features', 'dark', 'curly', 'eyes', 'colored', 'wearing', 'ancient', 'tribal', 'animal', 'skin', 'clothing', 'landscape', 'metal', 'fiber', 'cloth', 'clothing']","['stoneage', 'people', 'east', 'features', 'dark', 'eyes', 'colored', 'wearing', 'ancient', 'tribal', 'animal', 'skin', 'clothing', 'landscape', 'metal', 'fiber', 'cloth', 'clothing']","['crowd', 'stoneag', 'peopl', 'east', 'featur', 'dark', 'curli', 'eye', 'color', 'wear', 'ancient', 'tribal', 'anim', 'skin', 'cloth', 'landscap', 'metal', 'fiber', 'cloth', 'cloth']"
newbies 33,1.09E+18,Italian politicians Elly Schlein  Dario Franceschini play the violin under the geodesic dome,3/29/2023,"['politicians', 'elly', 'schlein', 'dario', 'franceschini', 'play', 'violin', 'dome']","['politicians', 'elly', 'schlein', 'dario', 'franceschini', 'play', 'violin', 'dome']","['politician', 'elli', 'schlein', 'dario', 'franceschini', 'play', 'violin', 'dome']"
newbies 33,4.78E+17,EXTERNALURL  an exact replica of this woman surrounded by electric full spectrum color smoke and electric wave synesthesia  ,3/29/2023,"['externalurl', 'replica', 'woman', 'surrounded', 'spectrum', 'color', 'smoke', 'wave', 'synesthesia']","['externalurl', 'replica', 'woman', 'surrounded', 'color', 'smoke', 'wave', 'synesthesia']","['externalurl', 'replica', 'woman', 'surround', 'spectrum', 'color', 'smoke', 'wave', 'synesthesia']"
newbies 33,1.09E+18,Disney farmer for book,3/29/2023,"['disney', 'farmer', 'book']","['disney', 'farmer', 'book']","['disney', 'farmer', 'book']"
newbies 63,1.08E+18,light painting of a girl dancing in a rain on top of skyscraper  city in a background  low angle on a girl  red dress  dramatic lighting   ,3/29/2023,"['painting', 'girl', 'dancing', 'rain', 'top', 'city', 'background', 'angle', 'girl', 'dress', 'lighting']","['painting', 'girl', 'dancing', 'rain', 'city', 'background', 'angle', 'dress', 'lighting']","['paint', 'girl', 'danc', 'rain', 'top', 'citi', 'background', 'angl', 'girl', 'dress', 'light']"
newbies 63,3.66E+17,poster design  bold  simple  minimalist,3/29/2023,"['poster', 'design', 'minimalist']","['poster', 'design', 'minimalist']","['poster', 'design', 'minimalist']"
newbies 63,9.12E+17,trump in cyberpunk style  walking in Tokyo,3/29/2023,"['trump', 'cyberpunk', 'style', 'walking', 'tokyo']","['cyberpunk', 'style', 'walking', 'tokyo']","['trump', 'cyberpunk', 'style', 'walk', 'tokyo']"
newbies 63,1.09E+18,high resolution photo of a happy surfer riding a wave in Sri Lanka with WaveAccess logo clearly visible on T Shirt,3/29/2023,"['resolution', 'photo', 'surfer', 'riding', 'wave', 'sri', 'lanka', 'waveaccess', 'logo', 'clearly', 'shirt']","['resolution', 'photo', 'surfer', 'riding', 'wave', 'sri', 'waveaccess', 'logo', 'clearly', 'shirt']","['resolut', 'photo', 'surfer', 'ride', 'wave', 'sri', 'lanka', 'waveaccess', 'logo', 'clearli', 'shirt']"
newbies 93,8.63E+17,A baby laying down in a crib   Os Gemeos  ,3/29/2023,"['baby', 'laying', 'crib', 'os', 'gemeos']","['baby', 'laying', 'crib', 'os', 'gemeos']","['babi', 'lay', 'crib', 'os', 'gemeo']"
newbies 93,1.09E+18,a logo of someone pouring water from a vase on planet earth,3/29/2023,"['logo', 'someone', 'pouring', 'water', 'vase', 'planet', 'earth']","['logo', 'someone', 'pouring', 'water', 'vase', 'planet', 'earth']","['logo', 'someon', 'pour', 'water', 'vase', 'planet', 'earth']"
newbies 93,1.08E+18,a photorealistic 4K image  of a psychotherapist in treatment with a child  The psychotherapist is smiling  The treatment takes place in a practice with a lot of flowers and a homely atmosphere in Skandi style  The child is excited and smiling slightly  There are windows in the background  the sky and individual trees are visible in the windows and the sun shines in ,3/29/2023,"['4k', 'image', 'psychotherapist', 'treatment', 'child', 'psychotherapist', 'smiling', 'treatment', 'takes', 'place', 'practice', 'lot', 'flowers', 'homely', 'skandi', 'style', 'child', 'excited', 'smiling', 'slightly', 'windows', 'background', 'sky', 'trees', 'windows', 'sun', 'shines']","['4k', 'image', 'psychotherapist', 'treatment', 'psychotherapist', 'smiling', 'treatment', 'takes', 'place', 'practice', 'lot', 'flowers', 'homely', 'style', 'child', 'excited', 'smiling', 'slightly', 'windows', 'background', 'sky', 'trees', 'windows', 'sun', 'shines']","['4k', 'imag', 'psychotherapist', 'treatment', 'child', 'psychotherapist', 'smile', 'treatment', 'take', 'place', 'practic', 'lot', 'flower', 'home', 'skandi', 'style', 'child', 'excit', 'smile', 'slightli', 'window', 'background', 'sky', 'tree', 'window', 'sun', 'shine']"
newbies 93,1.09E+18,logo for a series of dinners name soir\xe9es \xe0 la fran\xe7aise  French food  French wine  fun,3/29/2023,"['logo', 'series', 'dinners', 'name', '\\xe0', 'la', 'fran\\xe7aise', 'food', 'wine', 'fun']","['series', 'dinners', 'name', '\\xe0', 'la', 'fran\\xe7aise', 'food', 'wine', 'fun']","['logo', 'seri', 'dinner', 'name', '\\xe0', 'la', 'fran\\xe7ais', 'food', 'wine', 'fun']"
newbies 93,7.40E+17,Dirty Harry walking in the streets of San Francisco with his gun in his hand  animated show style   ,3/29/2023,"['dirty', 'harry', 'walking', 'streets', 'san', 'francisco', 'gun', 'hand', 'animated', 'show', 'style']","['dirty', 'harry', 'walking', 'streets', 'gun', 'hand', 'animated', 'show', 'style']","['dirti', 'harri', 'walk', 'street', 'san', 'francisco', 'gun', 'hand', 'anim', 'show', 'style']"
newbies 93,7.59E+17,website home page for a camera rental company  white  black  orange  minimalistic  modern  kodak portra 800  32k  ,3/29/2023,"['home', 'page', 'camera', 'company', 'orange', 'kodak', 'portra', '800', '32k']","['home', 'page', 'camera', 'company', 'orange', 'kodak', '800', '32k']","['home', 'page', 'camera', 'compani', 'orang', 'kodak', 'portra', '800', '32k']"
newbies 93,2.63E+17,face  little bit twisted  agony   in collorfull flower bed  warhammer 40000  oil painting  ,3/29/2023,"['face', 'bit', 'agony', 'collorfull', 'flower', 'bed', '40000', 'oil', 'painting']","['face', 'bit', 'collorfull', 'flower', 'bed', '40000', 'oil', 'painting']","['face', 'bit', 'agoni', 'collorful', 'flower', 'bed', '40000', 'oil', 'paint']"
newbies 93,4.67E+17,roses with long curly stems  with sunshine but not to bright behind them  like a view through a camera lens,3/29/2023,"['roses', 'stems', 'sunshine', 'bright', 'behind', 'like', 'view', 'camera', 'lens']","['roses', 'stems', 'behind', 'like', 'view', 'camera', 'lens']","['rose', 'stem', 'sunshin', 'bright', 'behind', 'like', 'view', 'camera', 'len']"
newbies 93,1.13E+17,a steampunk cat mechanic  portrait  pixel art style  transparent background  ,3/29/2023,"['steampunk', 'cat', 'portrait', 'art', 'style', 'transparent', 'background']","['steampunk', 'cat', 'art', 'style', 'transparent', 'background']","['steampunk', 'cat', 'portrait', 'art', 'style', 'transpar', 'background']"
newbies 33,8.43E+17,a logo for a branding agency named greybox creative  flat vector graphic  modern,3/29/2023,"['logo', 'branding', 'agency', 'named', 'greybox', 'vector']","['logo', 'branding', 'agency', 'named', 'greybox', 'vector']","['logo', 'brand', 'agenc', 'name', 'greybox', 'vector']"
