Channel,User Id,Prompt,Timestamp
newbies-17,4.54E+17,poker players betting but in a football game situation --v 4 --s 250,2023-04-27T04:22:58.156000+00:00
newbies-17,5.51E+17,"godzilla attacking a naval ship, in the style of aggressive digital illustration, tiago hoisel, detailed character expressions, low depth of field, peter mitchev, pigeoncore, explosion --no human --v 5",2023-04-27T04:22:34.134000+00:00
newbies-47,7.98E+17,"angry mystic gold lion with 3 heads, minimalist, modern, vines, green, white background, colors green gold black, a logo for a plant business <https://s.mj.run/sjcWRaydL78>",2023-04-27T04:33:24.753000+00:00
newbies-47,6.77E+17,"great pyrenees, minimalistic, boho, cute, fine line --ar 3:4 --v 5",2023-04-27T04:32:43.911000+00:00
newbies-47,6.90E+17,"ultra-realistic 8k portrait, Urguayan soccer player, black skin colour, black short curly hair",2023-04-27T04:38:43.276000+00:00
newbies-47,1.09E+18,"<https://s.mj.run/6stlzSYQLWE> the space in a room in a modern apartment is modern, in the style of exquisite craftsmanship, organic material, salon kei, sensory experience, use of ephemeral materials, light magenta and dark brown, organic shapes and curved lines 8K --ar 135:89 --v 5",2023-04-27T04:37:19.307000+00:00
newbies-47,9.67E+17,"style of surreal horror, hyperdetailed illustration, made of safety pins layered lines painting demonstrating different colors flowerpunk chaotic expressionism in the style of monochromatic ink washes digital and glitchy in the style of collaged landscape refractive surface exaggerated figures calotype found footage in the style of installation art photorealistic detail neon makeup production stills . 942937a vs. 942937b in the style of harold edgerton playful use of negative space",2023-04-27T04:41:55.754000+00:00
newbies-47,7.74E+17,"toddler crying in pre-school over broken toy, wes anderson film style, --ar 16:9 --v 5",2023-04-27T04:35:33.575000+00:00
newbies-47,1.10E+18,"water marble, GUNDAM, mechanical, Blue and yellow lines on a white background, 3D render",2023-04-27T04:38:04.975000+00:00
newbies-47,1.10E+18,"a single sofa, scandinavian style --v 5",2023-04-27T04:36:03.612000+00:00
newbies-47,1.09E+18,"linocut, sun, minimalist, boho",2023-04-27T04:31:57.252000+00:00
newbies-77,9.32E+17,boho constellation background pink blue turquoise gold colors,2023-04-27T04:44:31.732000+00:00
newbies-77,3.56E+17,"pikachu , Standing, facing camera, staring at lens, 8k --ar 9:16 --v 5",2023-04-27T04:40:17.794000+00:00
newbies-77,5.96E+17,A man in a helmet --niji 4,2023-04-27T03:46:05.416000+00:00
newbies-77,1.08E+18,"oil painting in the style of Ross Watson of the most beautiful 17 year old girl in the world, very long free- flowing blonde hair, extremely muscular- defined, wearing short shorts, walking on the beach. In the background, beautiful large waves, very colorful painting vivid and vibrant brilliant illustration of colors throughout the painting, beautiful white, fluffy clouds in the background, her skin is Golden tan. Her outfit is pink and white. Hyper realism, cinematic lighting, volumetric lighting, soft shadows in 8K. --seed 7 --ar 9:16 --upbeta --q 2 --s 750 --v 5",2023-04-27T03:45:05.301000+00:00
newbies-77,7.76E+17,a single cartoon red and black casino chip,2023-04-27T03:57:57.099000+00:00
newbies-77,1.07E+18,"young brother and sister surfing illustration, each child is surfing on their own surfboard, each child is facing the viewer as they surf, an island and sunset are in the background, rich vibrant colors, 4K, 3D style, Pixar style, Disney style, detailed, cinematic lighting, vertical format, book cover --v 5 --v 5",2023-04-27T03:45:20.345000+00:00
newbies-13,1.07E+18,"holographic interface terminals in a mining area, by Jane Smith, digital art contest winner, advanced technology, immersive gameplay, sci-fi aesthetics, video game environment design, control systems for mining equipment, data access points, futuristic workspaces, innovative interaction designs --v 5 --q 2 --stylize 1000",2023-04-27T04:35:10.664000+00:00
newbies-13,1.09E+18,"<https://s.mj.run/lGw3NYjXh0I> analog photography 35mm film of two women who have a rabbit mask on their faces, have a relaxed expression, have bouquets of flowers in their hands, are dressed in clothes Gucci flower lace couture, theyre in a garden of white flowers, --v 5",2023-04-27T04:45:47.676000+00:00
newbies-13,5.98E+17,"a 25 year old female European happy student in front of his class, in the back a big screen with trading graphics. Photorealistic, unreal engine, hyper detailed, hdr, octane render, 8k, v-ray, 600mm lens, Sony Alpha, cinematic, high detail, --v 5 --ar 16:9",2023-04-27T04:38:50.564000+00:00
newbies-13,5.32E+17,"razor sharp detailed pen and ink, color drawing, Intricate, inexplicable, fantastic, enigmatic The Witch, The Empress, The Sorceress and The Queen of Night and the Queens of the Five Elements in the style of Miro, in the style of Benton --ar 64:49 --q 5 --s 550 --v 5 --c 100 --uplight",2023-04-27T04:35:34.742000+00:00
newbies-13,1.07E+18,<https://s.mj.run/F6lY0WhFLaI> <https://s.mj.run/mAVyZCmVN7M> --s 250,2023-04-27T04:35:21.711000+00:00
newbies-13,9.56E+17,"<https://s.mj.run/gGIAzth0gtc> in front of a birthday cake, with a halo above their head",2023-04-27T04:44:36.178000+00:00
newbies-13,1.08E+18,clean minimalistic expensive watch half visible under the cuff of a white shirt; photo realistic image; high quality; --ar 9:16,2023-04-27T04:37:54.741000+00:00
newbies-13,1.04E+18,illustration in Pixar style of woman playing acoustic guitar. Solid colour background.,2023-04-27T04:36:03.717000+00:00
newbies-13,8.45E+17,create a realistic image of an eco-friendly destination highlight - A beautiful eco-lodge in Costa Rica. Use a Nikon D850 DSLR camera. Use Midjourney v5 with photorealism mode turned on.,2023-04-27T04:36:04.533000+00:00
newbies-13,1.03E+18,"closeup photograph of joe biden covered in chicken feathers, half man half chicken, extreme detail, studio photo, specular lighting, neon colors --ar 16:9 --q 2 --v 5",2023-04-27T04:35:11.580000+00:00
newbies-43,1.09E+18,"kid smiling, photorealistic, hyper realistic photo portrait --s 750 --v 5",2023-04-27T04:38:23.472000+00:00
newbies-43,2.86E+17,"Sagittarius woman, Scorpio man, in love, adventure, nature, water, fire, island , escape",2023-04-27T04:37:36.417000+00:00
newbies-43,8.90E+17,"Latina woman kissy lips, flirty, colored manga style, ultra detailed, Nisio Isin, sharp colors, hazy, eiichiro oda",2023-04-27T04:37:33.715000+00:00
newbies-43,2.93E+17,"beautiful Scandinavian living room, with large windows, and crepuscular sunlight rays neutral, tones, modern minimalistic --v 5",2023-04-27T04:41:26.611000+00:00
newbies-43,1.10E+18,a men standing near the windows waiting for a women glass reflection self protrait colour sparkle warm sky tones --q 2 --v 5,2023-04-27T04:44:03.837000+00:00
newbies-43,6.38E+17,"Sad, lonely, blue rust silver, Maya Hawke, Charlize Theron, alone in the back of a black car, trying not to cry, clean face, cinematic lighting, photoreal, blonde 20-year-old female --aspect 7:4",2023-04-27T04:37:26.022000+00:00
newbies-43,4.81E+17,"parking for cars minimalistically futuristic parking for 1500 cars with landscaping with places for disabled people and special equipment many entrances and exits in detail ultra realistic. To capture this impactful moment, the photographer may have used a high-resolution DSLR camera, such as a Nikon D850 or a Canon EOS 5D Mark IV, paired with a versatile telephoto lens, such as a Nikon AF-S 70-200mm f/2.8E FL ED VR lens or a Canon EF 70-200mm f/2.8L IS III USM lens. --ar 16:9 --v 5",2023-04-27T04:36:57.304000+00:00
newbies-43,1.09E+18,"Fantasy art featuring the woman in the forest facing the pig, A huge cute pig facing a person, huge white pig head facig the viewer, the forest in the middle of summer, huge, first person perspective, sunny forest, ultra wide anlge, ultra low angle shot, panorama, impactful picture, dynamic expressive force, cinematic shock, realistic lighting, by Alphonse Mucha, Arthur Rackham, James Jean, and Victo Ngai, Dan Mumford, depth of field, huge, detailed painting Ink and wash style, gilt, oblique composition, bold, line art, brushwork, contours, beyond, fluid Wide angle shots, incredible detail, sharpening, crazy detail, vivid, 8k, rich detail, artistically realistic, stormy forestcapes, i cant believe how beautiful this is, meticulously detailed, --niji 5 --ar 9:16 --v 5",2023-04-27T04:37:44.727000+00:00
newbies-43,5.51E+17,an image being segmented into components selecting the component to delete --ar 16:9,2023-04-27T04:38:16.002000+00:00
newbies-73,1.07E+18,"A stack of boxes with different sizes and colors, showing various custom packaging solutions. --v 5 --ar 3:2",2023-04-27T04:41:52.840000+00:00
newbies-73,4.88E+17,"an artistic interpretation of the goddess of life portrayed as a ethereally beautiful 35yo woman with blond hair wearing an olive wreath. Incorporate elements of Renaissance fashion and Leonardo da Vincis sfumato technique into the artwork. Emphasize the goddesss enigmatic smile, ethereal beauty, intense gaze, and the flowers in her hair. The final image should blend the iconic features of both the goddess of life and the beautiful woman in a visually captivating manner. Realistic. --upbeta --v 5 --q 2 --no frame --v 5",2023-04-27T04:32:24.569000+00:00
newbies-73,9.68E+17,"Against a romantic, fairytale-like background, a charming cat poses gracefully with a heart-shaped pendant around its neck. The cats mesmerizing eyes draw attention to the NASA x Nike logo on the pendant. The text overlay reads: Discover Love in the Universe - The Nike x NASA Collection. The image is vibrant and engaging, perfect for a digital advertisement. — ar 9:16 — s 750 — v 5",2023-04-27T04:00:53.388000+00:00
newbies-73,2.52E+17,<https://s.mj.run/BxOZqq-LiwA> render in disney pixar style --ar 9:16 --v 5,2023-04-27T03:48:17.833000+00:00
newbies-26,1.10E+18,"To start, we would need to determine the size of the dome that would be suitable for your needs. A dome with a diameter of 30-35 feet would be a good size for a comfortable living space. For the structure of the dome, we would use a wooden frame made of sturdy and durable timber such as cedar, redwood or Douglas fir. The frame would consist of a series of triangles that are connected together to form a geodesic shape. This will provide strength and stability to the structure, making it resistant to the strong winds and snow loads that can occur in the southern region of Chile. To let in natural light and provide a stunning view of the Andes mountains, we can incorporate large glass windows into the design. These windows can be strategically placed around the dome to allow for maximum sunlight and views, while also maintaining the structural integrity of the dome. In terms of insulation, we would use high-quality materials to ensure the dome stays warm during the colder months. This could include using rigid foam insulation, double-pane windows and energy-efficient heating systems. Overall, this geodesic dome with a wooden frame and glass windows would be a beautiful and functional living space that would allow you to fully appreciate the natural beauty of the southern region of Chile.",2023-04-27T04:39:03.192000+00:00
newbies-26,1.07E+18,a modern gradient background with varying shades of blue for website and powerpoint slides --ar 16:9,2023-04-27T04:40:34.710000+00:00
newbies-26,1.09E+18,"close photos 8k of muscular dogs lifting weights in a gym, --ar 16:9 --v 5",2023-04-27T04:37:37.472000+00:00
newbies-26,6.87E+17,"Tattoo with the date in years, with the background of a road with mountains, for the arm with Japanese style",2023-04-27T04:36:43.001000+00:00
newbies-26,1.10E+18,"interior home office scene illustrated in the style of concept art for animation, mid century modern design style, saturated plain colors, texture, matte painting, drawing, detailed, New York City, night time, Gallery wall framed graphic art prints, leather and wood, built in shelves, warm lighting from lamps, cluttered--v 4 --ar 16:9",2023-04-27T04:36:33.902000+00:00
newbies-26,6.75E+17,"Animated film Fantasia, with Freddie Kruger from Nightmare on Elm Street as the main character.",2023-04-27T04:37:37.897000+00:00
newbies-26,7.00E+17,"Create a Soviet Realism-style YouTube thumbnail for a video on Marxist texts about the LGBTQ movement, with Marx and Engels as prominent features. Include the Communist Hammer and Sickle symbol, and blend Bolshevik Revolution and Pride flag colors. Add relevant visuals such as Angela Davis, Audre Lorde, and socialist or LGBTQ movement imagery. Ensure the design is visually impactful and aligned with the video content",2023-04-27T04:37:18.038000+00:00
newbies-26,1.10E+18,"<https://s.mj.run/j1A-v5kNTgQ> man wearing glasses, confident and smiling, red leather jacket, looking at you --v 5 --v 4",2023-04-27T04:45:14.480000+00:00
newbies-26,1.09E+18,"For a logo design for a zoo, you could consider using line art animals inside a circle. The animals could overlap slightly in some areas, and each animal could be drawn in a different color to create a dynamic and playful effect. Its important to choose animals that are commonly found in zoos, such as lions, tigers, elephants, giraffes, and so on. Additionally, you could add the name of the zoo in a simple and clean font outside of the circle to complete the design. --v 5",2023-04-27T04:41:50.795000+00:00
newbies-26,5.30E+17,animated Baby angel holding ak gun pendant 3d,2023-04-27T04:40:38.423000+00:00
newbies-26,1.01E+18,"STYLE: French light luxury fashion style | GENRE: The open plan living area is preceded by a floor-to-ceiling electric fireplace in clear glass and the dining area is reared, with elegant and stylish furniture, natural stone and a soothing color palette | EMOTION: Welcoming | SCENE: An open-plan living and dining area with elegant and stylish furniture, natural stone and a muted color palette | TAGS: modern chic elegance airy luxury luxury soft curves comfort | CAMERA: Canon EOS R6 | FOCAL LENGTH: 20mm | SHOT TYPE: Split-level | COMPOSITION: Rule of Thirds, with the living area on the upper level and the dining area on the lower level | LIGHTING: Natural light from large windows and sliding glass doors, complemented by pendant lights and floor lamps | MATERIALS: Light wood flooring, white walls, and a mix of natural and synthetic fabrics | DECORATIONS: Elegant Artwork, CHANEL, GUCCI, Bronze Metal Accents | ROOM SIZE: Split- level open-concept living and dining area | WINDOW TREATMENT: Large windows and sliding glass doors with adjustable, sheer curtains SEATING: white sofa by roche-bobois | TABLES: The dining table is an 8-seater marble dining table surrounded by modern chairs | ELECTRONIC FIREPLACE:The Opti-myst electronic fireplace is placed between the sofa and the dining table, and the top is transparent glass with a stylish texture | TIME: Late morning | LOCATION TYPE: Interior | POST-PROCESSING: Enhanced brightness and clarity, boosted vibrancy of colors, and increased contrast for depth. --ar 16:9 --q 2 --v 5",2023-04-27T04:37:23.338000+00:00
newbies-26,7.51E+17,snap dragon 2d simplified outline vector no colour monochorm coloring page depicting on the white background::signature text border frame logo name headline watermark gradient shading greyscale::-0.3 style of by by Kate Kyehyun Park--v 5--ar 3:4--s 750,2023-04-27T04:35:18.315000+00:00
newbies-26,1.09E+18,a futuristic french provincial laundromat store fit,2023-04-27T04:35:59.959000+00:00
newbies-56,1.09E+18,"square background for instagram account, in black, gray and yellow, brutal style, friendly --s 750",2023-04-27T04:36:53.022000+00:00
newbies-56,8.52E+17,Cinematic image of Smokey the University of Tennessee Mascot in a dungeons and dragons setting as a bard with a cowboy hat and guitar,2023-04-27T04:45:12.368000+00:00
newbies-56,8.45E+17,hemodialisis machinne,2023-04-27T04:27:08.621000+00:00
newbies-56,1.05E+18,Idris Elba as John Stuart from Green Lantern. Canon EOS Mark V 50mm lens,2023-04-27T04:07:22.809000+00:00
newbies-56,7.29E+17,https://cdn.discordapp.com/ephemeral-attachments/1062880104792997970/1101000104690851892/wallethedog_imagine_an_All_New_4_Seater_luxury_SUV_Grand_Cruise_e35ea351-27f7-4ec3-afa6-a195d7d9336c.png https://cdn.discordapp.com/ephemeral-attachments/1062880104792997970/1101000106100146237/wallethedog_None_0e8313e9-1a45-4d77-9c10-9eae0bd2b96f.png --v 5,2023-04-27T04:21:22.472000+00:00
newbies-56,1.10E+18,a marble statue of: 4th,2023-04-27T04:05:35.793000+00:00
newbies-56,3.48E+17,closeup of a porcupine with orange bioluminescent spines,2023-04-27T04:07:03.432000+00:00
newbies-56,1.09E+18,<https://s.mj.run/t2WAFJKlRZY> remove 5 years of age an balance out the face to make more attractive and wearing a modern business suit standing in a fancy lobby,2023-04-27T04:08:17.174000+00:00
newbies-86,7.20E+17,"a black, magenta, and white image of a flooded city with a small boat floating in the center in the style of a tarot card",2023-04-27T04:28:02.846000+00:00
newbies-86,1.10E+18,cat --ar 16:9,2023-04-27T04:43:24.186000+00:00
newbies-86,1.10E+18,"indian woman, smiling, black hair, standing outside on a sunny day v 5",2023-04-27T04:38:41.809000+00:00
newbies-86,7.87E+17,"flat icon, scroll, human head, gold, yellow, white, plum",2023-04-27T04:28:08.520000+00:00
newbies-86,1.07E+18,"super high resolution photo of the typical arabic royal palace room and beautiful 23 years old females depicted on the following website  <https://s.mj.run/kJlHk_0y5Yg>  , posing, female form, only what she is wearing is super wet and ultra transparent and ultra-thin mesh night wear, in that wear the upper and lower halves are separated, that wear is drenched, a hyper realistic full body profile photography of based on a world-renowned fashion model , Photo of a woman in a similar pose and setting as the one in the following URL  <https://s.mj.run/xRNuoZoBsYA>  , full body shot, slightly Slim with attractive chest shape, Flushed expression, The combination of rosy cheeks and bright red lipstick is beautiful, with gentle eyes, ultra detailed, full body touch, With a hyperrealistic touch, Realism like a photograph,–ar 3:5",2023-04-27T04:28:36.903000+00:00
newbies-86,9.48E+17,"an elderly mans eyes, nose, and mouth built into the front face of a mountain, the mountain should be centered, complete, and a full shot, nature landscape, small surrounding mountains, in the style of childrens book illustration, watercolor, in the style of the art in this link: <https://s.mj.run/kxMTncEzXGc> but make sure the art is elegant, classy, 2D line-drawing, gentle and playful, designed for a childrens book",2023-04-27T04:28:10.544000+00:00
