Channel,ID,Prompt,Date
newbies 3,1.56665E+17,space and winter,3/29/2023
newbies 3,1.03455E+18,a minimal modern logo for a wellness center based on a five point star,3/29/2023
newbies 3,7.98766E+17,D&D serious looking half elf paladin  long white hair  with divine aura in detailed ceremonial armor  and blue clock standing in front of a gothic castle skyline in the background  heroic action pose  d&d fantasy  ,3/29/2023
newbies 3,5.59675E+17,picasso rendition of van gough starry night,3/29/2023
newbies 3,7.68518E+17,a native american indian on the plains in the 1700s photograph,3/29/2023
newbies 3,6.90224E+17,chinese white dragon tattoo in calligraphy style,3/29/2023
newbies 3,1.08778E+18,creditor and debtor discussion  ,3/29/2023
newbies 3,1.04799E+18,Illustration of a tiger make with calligraphy strokes and calligraphy shapes,3/29/2023
newbies 3,1.08791E+18,a person wearing a nose piercing,3/29/2023
newbies 3,1.0774E+18,Illustration of a tiger make with calligraphy strokes and calligraphy stripes jungle background front face tiger,3/29/2023
newbies 33,8.26202E+17,A hyper realistic landscape of a forest made out of chocolate ,3/29/2023
newbies 33,1.066E+18,womens face one hand on the face black and white,3/29/2023
newbies 33,1.08557E+18,a crowd of short stoneage people with East Indian features dark curly hair dark eyes olive colored skin wearing ancient tribal animal skin clothing against an irish landscape no metal no fiber cloth clothing,3/29/2023
newbies 33,1.09069E+18,Italian politicians Elly Schlein  Dario Franceschini play the violin under the geodesic dome,3/29/2023
newbies 33,1.05963E+18,people dancing at a festival in the desert of los angeles  The overall tone should be realistic and true to life  with no obvious signs of digital manipulation or artificiality  ,3/29/2023
newbies 33,4.78238E+17,EXTERNALURL  an exact replica of this woman surrounded by electric full spectrum color smoke and electric wave synesthesia  ,3/29/2023
newbies 33,1.0906E+18,Disney farmer for book,3/29/2023
newbies 63,1.07883E+18,light painting of a girl dancing in a rain on top of skyscraper  city in a background  low angle on a girl  red dress  dramatic lighting   ,3/29/2023
newbies 63,3.66356E+17,poster design  bold  simple  minimalist,3/29/2023
newbies 63,9.1236E+17,trump in cyberpunk style  walking in Tokyo,3/29/2023
newbies 63,1.09071E+18,high resolution photo of a happy surfer riding a wave in Sri Lanka with WaveAccess logo clearly visible on T Shirt,3/29/2023
newbies 93,8.62525E+17,A baby laying down in a crib   Os Gemeos  ,3/29/2023
newbies 93,1.09068E+18,a logo of someone pouring water from a vase on planet earth,3/29/2023
newbies 93,1.07637E+18,a photorealistic 4K image  of a psychotherapist in treatment with a child  The psychotherapist is smiling  The treatment takes place in a practice with a lot of flowers and a homely atmosphere in Skandi style  The child is excited and smiling slightly  There are windows in the background  the sky and individual trees are visible in the windows and the sun shines in ,3/29/2023
newbies 93,1.09012E+18,logo for a series of dinners name soir\xe9es \xe0 la fran\xe7aise  French food  French wine  fun,3/29/2023
newbies 93,7.40258E+17,Dirty Harry walking in the streets of San Francisco with his gun in his hand  animated show style   ,3/29/2023
newbies 93,7.58788E+17,website home page for a camera rental company  white  black  orange  minimalistic  modern  kodak portra 800  32k  ,3/29/2023
newbies 93,2.62515E+17,face  little bit twisted  agony   in collorfull flower bed  warhammer 40000  oil painting  ,3/29/2023
newbies 93,4.67192E+17,roses with long curly stems  with sunshine but not to bright behind them  like a view through a camera lens,3/29/2023
newbies 93,1.1299E+17,a steampunk cat mechanic  portrait  pixel art style  transparent background  ,3/29/2023
newbies 33,8.43211E+17,a logo for a branding agency named greybox creative  flat vector graphic  modern,3/29/2023
newbies 3,1.07074E+18,lion and lioness running a marathon  pink  family,3/29/2023
newbies 3,1.00617E+18,a still from a new wes anderson movie starring president joe biden as a lifeguard at a suburban town pool  frame grab  trailer  ,3/29/2023
newbies 3,9.17271E+17,a modern and minimalistic house in the woods with a padel court and lake view and a parked grey porsche 911,3/29/2023
newbies 3,1.09055E+18,4k  full body  samurai with dragon on the background,3/29/2023
newbies 3,1.09054E+18,a candles of your destiny  ,3/29/2023
newbies 3,2.82893E+17,generator in the forest,3/29/2023
newbies 3,9.5658E+17,32 year old Indian man  expressive brown eyes  wavy black hair  neatly trimmed beard  warm golden brown skin  wearing a slim fit shirt with subtle patterns  tailored pants  polished leather shoes  statement wristwatch  posing with intense posture  leaning slightly forward  furrowing brow  penetrating gaze  urban setting  Dubai skyline background  portrait captured in soft natural lighting  Cinestill 800T film  photorealistic detail  handsome  eye contact  ar 57 q 2 v 5,3/29/2023
newbies 3,7.04698E+17,Nashville at night  neon signs  hatch show print  Nissan Stadium  Batman building  hyper real photography,3/29/2023
newbies 3,6.92517E+17,water paint tiger  clean background  4k,3/29/2023
newbies 33,1.07295E+18,circle  pastel rainbow stained glass  with stained glass pastel rainbow fairy on the stained glass,3/29/2023
newbies 33,1.06254E+18,paint a realistic and epic scene of a prime cowboy warframe suit  The suit is just like a cowboy and super cinematic,3/29/2023
newbies 33,1.08676E+18,A biological expedition surprisingly finds modern brutalist architecture in the middle of an unihabited rainforest  High quality photography  expensive DSLR camera   ,3/29/2023
newbies 33,1.05912E+18,human  needs  collorfull  oil painting  realistic  ,3/29/2023
newbies 33,7.03773E+17,robot with a cap  cyberpunk style  cinem\xe1tica light  detalles picture  fashion,3/29/2023
newbies 63,7.55543E+17,A traditional japanese tattoo showing the samurai Musashi Miyamoto fighting with his sword,3/29/2023
newbies 63,1.0823E+18,bar in the rooftop with reclaimed wood and tile  Tropical Graffiti walls,3/29/2023
newbies 63,7.16116E+17,fantasy microtextured detailed narrow illustration for tattoo with shades of neon blue of falcon in flight fierce focus  ,3/29/2023
newbies 63,1.0893E+18,EXTERNALURL   3d  realistic  lovely family  Asian handsome husband and Asian cute wife with two pretty Asian daughters  Pixar style  8k  soft lighting  blender  The male adult big eyes  short dark hair  light green t shirt  good mood  laugh  The adult female has long dark hair  side hair bang  shining smiling eyes  good mood  wears a white spaghetti dress  has two dimples  holds the 7 months baby girl  One daughter is three years old  has girly short hair  two braids on each side of her head  big eyes  two dimples  laugh  very happy  and wears a pink flower dress  The other daughter is a seven months old baby  has big eyes  good mood  very happy  wears a light purple dress  dark girly hair  super resolution  8k  ,3/29/2023
newbies 63,3.43187E+17,background image of a vintage jungle cartoon HD,3/29/2023
newbies 63,2.05565E+17,EXTERNALURL  the character of a happy 17 year old boy with red dreadlocks joyful facial expression and beautiful green eyes  top body expression  illustration in Elfen Lied style  full color  flat illustration style  simple colors  textured  board drawing  procreate  Karolis Strautniekas  Mads Berg  Pixiv  ,3/29/2023
newbies 93,7.19769E+17,EXTERNALURL   add a dark background with dark trees forest and angelize the girl with wings in the middle of a gold waterflow full body,3/29/2023
newbies 93,4.84397E+17,a DOG dressed as a RANDOM OCCUPATION  character  by David Roberts  artstation  behance hd  cgsociety  3d  realistic  cosmic lights  galaxies  stunning  glowing  spirals  space  nebulae  stars  smoke  iridescent  intricate detail  realistic  detailed  8k  high resolution  isolated on cosmic background   ,3/29/2023
newbies 93,9.36649E+17,cartoon art style; a friendly green dinosaur in the blue police uniform; police bage on the uniform; background town;,3/29/2023
newbies 93,6.91258E+17,realistic portrait of an axolotl and a fox in the style of American Gothic,3/29/2023
newbies 3,1.09035E+18,EXTERNALURL  dark classroom caricature  at 17 years old wide angle full body shot   @andrewbrinkworth  fast ,3/29/2023
newbies 3,1.06176E+18,a tiara inspired by house targaryen,3/29/2023
newbies 3,6.85667E+17,high resolution hyper realistic watercolor and pencil drawing on print of real Bay of Napoli in Italy  ,3/29/2023
newbies 3,7.78497E+17,a very simple drawing of a burglar dressed in black and with a black cloth mask over his eyes  4k  ultra realistic,3/29/2023
newbies 3,3.64611E+17,realistic photo of naruto in a bamboo forest   ,3/29/2023
newbies 3,1.0809E+18,tattoo artist at work,3/29/2023
newbies 3,4.03919E+17,hyperreal  professional portrait  36 year old Dominican woman  friendly demeanor  5\7 tall  light brown eyes  long dark brown curly hair  casual beach wear  warm caramel complexion  trendy form fitting tshirt and shorts  outdoors  natural light  punta cana beach background  intricate facial details  approachable expression  photorealism  beautiful  smiling  eye contact Use a Leica Summicron M 28mm f 2 0 Lens ar 57 q 2 v 5,3/29/2023
newbies 33,8.85441E+17,1940s war propaganda poster using terran marine from starcraft 2,3/29/2023
newbies 33,1.00326E+18,a gnome with a pose in an old forest that is illuminated in purple ,3/29/2023
newbies 33,1.0747E+18,fashion model  stunning beautiful  young woman wearing running outfit  scantily dressed  Jogging in Abby Road  London  Model looks; long black hair  blue eyes  good shapes  looks like a mix of Mila Kunis and Carmen Electra  Photography style like Annie Leibovitz  full body photo  instagram flirty  cinematic  extreme details  high quality  photo realisti  8k  octane render  35mm  Establishing shot  shot from above  f 2 8   ,3/29/2023
newbies 63,8.4142E+17,oil painting with brush marks    in royal court of aliens wearing human royal robes  in large grand musuem looking at paintings and sculptures  rennaisance painting  grand musuem with small people and large scultpures of insects and aliens,3/29/2023
newbies 63,9.29327E+17,Vogue magazine shoot of an attractive Female tennis player aged 15  tall blonde with blue eyes and lightly curled that flows just beneath the shoulder  wearing a classic old wealth aesthetics low neck tennis dress with mini skirt in light pastel colours  standing and posing on the grass tennis court with eyes looking into the camera  on a warm sunny morning  photo from below full body shot to include the feet  long shot  Color Grading  Depth of Field  dynamic composition  ultra detailed photography  ultra defined  beautiful detail  atmospheric  cinematic  dramatic lighting  photorealistic  Sony Alpha a7 8k Leica m 35mm lense  Tilt Blur  Shutter Speed 1  1000  F  22  Super   Resolution  Megapixel   ,3/29/2023
newbies 63,1.07383E+18,realistic painting of jesus nailed to the cross  red clouds  hyper realistic detail 4k  ,3/29/2023
newbies 93,1.08709E+18,Street style full body photo of a blondy woman wears nike pink outfit   shot on Fujifilm 400  natural lighting  instagram style  ,3/29/2023
newbies 93,6.32693E+17,Goliath race from dungeons and dragons  barbarian causing havoc to a village  wielding greataxe above head,3/29/2023
newbies 33,5.37459E+17,a vintage barbershop logo for the theme of basement barber  dark green  4k  high resolution,3/29/2023
newbies 3,1.09039E+18,a cool dad  black hair  sunglasses  about 50 years  driving an old mercedes SL cabriolet in silver on a highway in miami in the morning,3/29/2023
newbies 3,7.17265E+17,jesus christ playing a 7 string guitar  in front of a cross  with a backing rock band hyperealistic 8k  ,3/29/2023
newbies 3,9.86457E+17,old woman laying on large rocks beside a river  in the style of Melanie Rush   ,3/29/2023
newbies 3,6.24236E+17,mascot  cartoon  masculine  balikbayan box  60 years old  filipino,3/29/2023
newbies 3,1.07016E+18,youre a curator  top class exhibition designer  tasked to design an exhibition space for an group exhibit about Cyberfeminism  render  ultra realistic  ,3/29/2023
newbies 3,7.95084E+17,a chair made from the skin of a corgi dog hyper realistic  photorealistic  super resolution  super detailed photography incredibly detailed  insanely detailed and intricate  8k  ,3/29/2023
newbies 3,1.0806E+18,lion father,3/29/2023
newbies 3,1.08968E+18,eypt pyramids  rain  dessert on fire in the shape of a pentagraml   cinematic  anamorphic  perfect perspective  photorealistic  fire  smoke  fullbody  guns  wide angle movie still  fire  smoke birds eye view  1980s  ,3/29/2023
newbies 33,4.22048E+17,Dollars transforming into stars in the sky represented as a watercolor painting; inspired by J M W  Turner; the scene shows a dreamy night sky with dollars swirling and transforming into shimmering stars; cool color temperature; no faces; diffused lighting; serene atmosphere ,3/29/2023
newbies 33,9.69928E+17,a spacious world of automation with a lot of orange sensors and cables  photorealistic  3d  realistic,3/29/2023
newbies 33,1.06376E+18,Photography  street photography  night street photography  neon signs  Tokyo night  a small Japanese restaurant in Tokyo  front view  in detail  Yuto Yamada photography style  cinematic light  long exposure  beautiful light  dramatic light  extremely detailed and realistic  ,3/29/2023
newbies 33,1.05924E+18,pastel rainbow small horse  with light blue hoofs,3/29/2023
newbies 63,1.06413E+18,horse  running  ultra realistic  ,3/29/2023
newbies 63,6.29783E+17,a room staged for a photoshoot  hooped assorted flowers circle the backdrop  candles glow  romantic mood lighting  flowers on the floor  Unreal render  Ultra realistic   ,3/29/2023
newbies 63,1.08995E+18,bee  with small top hat resting in Elon Musks shoulder  cartoon  detailed cartoon  cute  kawai,3/29/2023
newbies 63,1.08802E+18,half man  half horse  hyperreal  q 2 v 5,3/29/2023
newbies 3,1.05589E+18,create a stunning photo realistic portrait  waist up to head  of Brandon Prust the former NHL hockey player in semi formal attire  smiling in a transparent background with a 25mm lens  achieve a depth of field with tilt blur and a shutter speed of 1 1000 and f 22  Aim for a photorealistic look with 32k resolution  no words  8k  HD  cinematography  photorealistic  epic composition  Unreal Engine  Color Grading  interesting angle  cinematic view  35mm kodak film grain  hyper detailed  beautifully color coded  insane details  intricate details  Editorial Photography  Photography  Depth of Field  Tilt Blur  Super Resolution  Megapixel  ProPhoto RGB  VR  Half rear Lighting Backlight  Dramatic Lighting  Incandescent  Optical Fiber  Moody Lighting  Soft Lighting ,3/29/2023
newbies 33,3.5928E+17,Sagrada Familia   epic view of Sagrada Familia with neon leds on the columns  in a storm  cyberpunk,3/29/2023
newbies 93,7.7061E+17,digital gravity  saturn  music camera   synthesizer  computer,3/29/2023
newbies 93,1.07797E+18,pope balensiaga  Porsche  8k  HD  CINEMA  ,3/29/2023
newbies 3,3.4027E+17,steampunk zombie on super fast rocket motorcycle in cosmic futuristic city photorealistic cinematic dramatic lighting v5 Highly Detailed kodak VISION3 500T,3/29/2023
newbies 3,6.22804E+17,A 1980s photograph of a hot air balloon flying over the serengeti  A middle aged man is saving a woman who has falllen out of the basket  A thirteen year old girl smiles and waves at the camera unaware ,3/29/2023
newbies 3,2.32597E+17,serpent  apple  vintage label  biblical  bunch of grapes  vine,3/29/2023
newbies 3,1.09075E+18,a beatiful spanish woman drinking a glass of red wine on a balcony with views if the opera house in sydney,3/29/2023
newbies 3,8.86965E+17,President Biden in a suit sitting down playing chess against Putin,3/29/2023
newbies 3,1.08959E+18,A beautiful girl dressed as a viking low cut top  temptation  armor  Nordic tattoos  beautiful  long hair  mountains  snow  wet  dirty  photography  real  Photorealistic  ,3/29/2023
newbies 33,8.47214E+17,EXTERNALURL  Charles is crowned  the crown is in yout head  the crown bright ,3/29/2023
newbies 33,1.07642E+18,draw a real female  size D  tall  ancient egyptian  wild curly hair  jumping rope  1800s inter planetary  eating a whopper  ,3/29/2023
newbies 33,7.34979E+17,kraken,3/29/2023
newbies 63,7.23657E+17,paper quilling  paper cutout tropical flowers,3/29/2023
newbies 63,6.67595E+17,realistic photo of legendary Pok\xe9mon Rayquaza flying in the sky  with lightning dancing around it,3/29/2023
newbies 63,9.84265E+17,EXTERNALURL  A banquet hall with banquet tables covered in white table clothes and in the center of each banquet table is a glass vase and tied to each glass vase are 3 foot strings holding floating helium balloons that are pastel colored  Wide angle shot  By Paul Madonna   ,3/29/2023
newbies 93,6.85832E+17,Portrait  Caucasian 40y man  with beard  oval eyeglasses  smiling  30s hat  green eyes  black and white picture  cinematographic lights  smoking cigar  Nikon  F 4  iso 100   ,3/29/2023
newbies 93,1.09076E+18,Realistic image of a Titanfall mech at the window of a Starbucks drive through  The pod is open and the pilot is reaching down to grab the coffee  The camera view is in front of and to the right of the mech at a distance of about 60 feet ,3/29/2023
newbies 93,8.25895E+17,beautiful  sad  young woman seems to have a lot on her mind  realitic photo ,3/29/2023
newbies 93,3.37301E+17,A guy in a crown with an athletic build  open torso  hairy body  Another guy open torso  20 years old  wearing a wreath with flowers  athletic build  Kissing  passion  love   ,3/29/2023
newbies 93,1.03177E+18,cartoon dragon hugging a cartoon wolf  cute  bright  high resolution  high detail,3/29/2023
newbies 93,8.17312E+17,drawing style,3/29/2023
newbies 3,8.48594E+17,Photorealistic version of Donald Trump crying on the playground as a bunch of 9 year olds tease him  dramatic composition and lighting,3/29/2023
newbies 3,1.06398E+18,Simple Logo  Vector  Color blocking  sunflower EXTERNALURL ,3/30/2023
newbies 3,1.09071E+18,Cartoon  digital art  highly detailed  full body  wide angle  intricate  Tom Petty 1975 Self portrait with long hair and a purple velvet Mad Hatter hat with a Third Eye on the top middle of it and a long  fat joint with billowing smoke around the face  ,3/30/2023
newbies 3,8.82694E+17,A 90s photo of a mob of grannies with guns running through an urban road  Side view   ,3/30/2023
newbies 3,1.08631E+18,EXTERNALURL  keep the exact photo and quality but change the color of the trousers to black,3/30/2023
newbies 3,4.41707E+17,Brasileira wearing modern  realistic  with elegant  futuristic  long and draped dress  floor level  smile  metal dress  long shot  12  taken using a Canon EOS R camera with a 50mm f 1 8 lens  f 2 2 aperture  shutter speed 1  200s  ISO 100 and natural light  Full Body  Hyper Realistic Photography  Cinematic  Cinema  Hyperdetail  UHD  Color Correction  hdr  color grading  hyper realistic CG animation  ,3/30/2023
newbies 3,9.76688E+17,messi kissing cristina kirchner in the lips,3/30/2023
newbies 3,1.07676E+18,Filter  sine wave graph  green sine wave on the left  blue sine wave on the right  symmetric graph HD realistic ,3/30/2023
newbies 3,8.92973E+17,Brasileira wearing modern  realistic  with elegant  futuristic  long and draped dress  floor level  smile  metal dress  long shot  12  taken using a Canon EOS R camera with a 50mm f 1 8 lens  f 2 2 aperture  shutter speed 1  200s  ISO 100 and natural light  Full Body  Hyper Realistic Photography  Cinematic  Cinema  Hyperdetail  UHD  Color Correction  hdr  color grading  hyper realistic CG animation  ,3/30/2023
newbies 3,1.05351E+18,the surface of the moon  space shuttle in background  cinema render   hyperrealistic  photorealistic  highly detailed   ,3/30/2023
newbies 33,7.9868E+17,anatomy illustration of a medical Musculoskeletal system fully visible front facing ar 169  ,3/30/2023
newbies 33,1.07838E+18,a young boy standing  wearing the flag of Yemen on his shoulder  he is watching over how sad is the war in Yemen  Shot on a Canon EOS R5 with a 24mm lens  f 1 8  1 100 shutter speed  and ISO 400  The lighting is a combination of soft and hard light  highlighting the intricate details of the city while also casting dramatic rain  The photo is edited in Lightroom and Photoshop to enhance the colors and details  with a focus on realism and photorealism  realistic style  ,3/30/2023
newbies 33,8.32822E+17,hyper realistic bulldog at a futuristic high school prom dancing neon colors vaporwave pretty kids dancing in background,3/30/2023
newbies 33,2.60638E+17,Wrait from Apex Legends  Ethereal  Supernatural  other worldly  extreme detail   ,3/30/2023
newbies 33,8.8781E+17,black background with sea green contours,3/30/2023
newbies 33,3.62766E+17,Nike shoe floating through the galaxy  hyper realistic  8K  Bright lighting  ,3/30/2023
newbies 63,1.0763E+18,A restaurant hall is designed with an Arab Islamic character  and the colors are bold and beautiful  and the lighting must be good and appropriate for the intended purpose  and different types of lighting are used  such as dim lighting  direct lighting  hidden lighting  and decoration  Many different things can be used in the decoration  such as curtains   furniture  flowers  and paintings  and the floor must be epoxy 3 d,3/30/2023
newbies 93,1.0852E+18,abstract picture of space,3/30/2023
newbies 93,1.02828E+18,EXTERNALURL  make these cats look like regal and distinguished kings wth crowns and necklace,3/30/2023
newbies 93,6.03914E+17,ultra realistic photo   highly detailed  selfie of pokemon characters at shibuya tokyo street  sunset  8k  high definition  Cinematic Lighting  wide angle  ,3/30/2023
newbies 93,1.05486E+18,Architecture watercolor ink sketch of A house with a modern design and a white and cream interior with big windows and a forest landscape would likely be a spacious and light filled living space  The interior design is characterized by clean lines  neutral colors  and a minimalist aesthetic  The white and cream color palette creates a bright and airy atmosphere  while the large windows offer panoramic views of the surrounding city  The living room is likely to be a spacious and open space  with comfortable seating arrangements and perhaps a fireplace  The furniture is likely to be sleek and modern  with a focus on clean lines and neutral colors  The large windows in the living room provide plenty of natural light and allow for stunning views of the city  Albert Kiefer style  Mattias Adolfsson style  vibrant Watercolor  ink  ,3/30/2023
newbies 93,9.77712E+17,Realistic photo of a family of four walking through a douglas fir forest  blue sky  sunshine ,3/30/2023
newbies 3,6.13124E+17,death feeds knowledge to children from a spoon2 comicbook drawing1 jack kirby1  ,3/30/2023
newbies 3,9.35177E+17,michael jordan winning gold at the olympics for swimming,3/30/2023
newbies 3,1.08119E+18,bag for woman with water droplets on its surface  Bright Background highly detailed  UHD  Cinematic  Nikon fx 50mm   ,3/30/2023
newbies 3,5.88634E+17,girl with blue and purple hair reading on the beaches of hawaii  green blue  fantasy  ,3/30/2023
newbies 3,8.87695E+17,a poster for a pool party in bali with a blonde australian girl sipping a cocktail on the edge of an infinity pool,3/30/2023
newbies 3,1.07589E+18,create a realistic HD image of a shopping cart and inside the cart is a $100 U S  dollar bill  baby rattle  books  food  stocks  bonds and teddy bear,3/30/2023
newbies 3,1.08784E+18,orange  gold and aqua colored graphic of two men and a woman starting his own architecture practice like EXTERNALURL ,3/30/2023
newbies 3,1.08301E+18,a 22 year old female from equador  wealthy  pretty but distinguished  photographic portrait  ultra realistic  extreme detail,3/30/2023
newbies 3,2.60236E+17,an image of a young boy called Sam playing RuneScape on his PC  ,3/30/2023
newbies 33,9.58126E+17,comicbook page with different panels containing scenes of a redneck astronaut with a jetpack alone on the surface of an unknown  desert planet  introspective  highly detailed  comicbook style  multiple panels  cartoon style  high contrast  ,3/30/2023
newbies 33,1.04988E+18,Cute  japanese  asian  kawaii  8k  18  no kimono  girl  frontal shot  ultra detailed  ultra realistic  85mm lens  f  1  8  accent lighting  portrait  face  extreme close up  big melons  public street  day  skinny  hair ponytail  pastel  blonde  goddess  ,3/30/2023
newbies 33,9.84658E+17,A disney style OLd Montreal port chrismas tree light exhibition scene  neon  pixar masterpiece  complicated  thomas kinkade  hyperdetailed  dazzling  mildly psychedelic  q 4,3/30/2023
newbies 33,7.58574E+17,Letter of company name G r making a circle with a hand signature  a finger of the OK sign Abstract logo Flat design vector illustration pop,3/30/2023
newbies 63,1.06213E+18,Black orange and royal blue downtown city neon lights skyline futuristic ultra realistic,3/30/2023
newbies 63,2.7709E+17,fallen aasimar a shadow sorcess full body portrait  modest clothing  holding a staff  cating a blackspell  she has black hair  she has on eye glowing gold the other glowing purple  she is smiling   ,3/30/2023
newbies 63,1.07165E+18,baseball theme background  bluish rays with gold night skyline background  creative  the number 23 on a golden blue baseball cap  40k production  ,3/30/2023
newbies 93,9.98373E+17,landing page with ai,3/30/2023
newbies 93,3.42114E+17,The rise of the digital age has created numerous opportunities for passive income businesses  no text  just image  8k  hdr  super realistic  high details  unreal engine   ,3/30/2023
newbies 3,1.08575E+18,**A black guy with black dreads  wearing a fur coat  with a foreign car and palm trees in the background  oil pastel**   @1085754086437167266  fast ,3/30/2023
newbies 3,1.06968E+18,**black and white  pen and ink  barb wire tangled up in the rain  ,3/30/2023
newbies 3,1.08897E+18,**precious day  coincidence  fate  destiny  calling  birthdate  era name  no mobile phones  war  shortage  rumors  anxiety **   Upscaled  Beta  by @1088967096274259979  fast ,3/30/2023
newbies 93,4.80212E+17,dj playing at beach party organized by friends  art Deco,3/30/2023
newbies 93,3.42114E+17,Opportunities for passive income businesses include rental properties  investments  and online businesses  no text  just image  8k  hdr  super realistic  high details  unreal engine   ,3/30/2023
newbies 93,4.0252E+17,kintsugi  dark background,3/30/2023
newbies 93,9.98373E+17,landing page with ai,3/30/2023
