Prompt,Dominant_Topic,Keywords
womens face one hand on the face black and white,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
a crowd of short stoneage people with East Indian features dark curly hair dark eyes olive colored skin wearing ancient tribal animal skin clothing against an irish landscape no metal no fiber/cloth clothing,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"Italian politicians Elly Schlein, Dario Franceschini play the violin under the geodesic dome",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"people dancing at a festival in the desert of los angeles. The overall tone should be realistic and true to life, with no obvious signs of digital manipulation or artificiality -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
ExternalUrl  an exact replica of this woman surrounded by electric full spectrum color smoke and electric wave synesthesia -,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
Disney farmer for book,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"light painting of a woman dancing in a rain on top of skyscraper, city in a background, low angle on a woman, red dress, dramatic lighting, -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"poster design, bold, simple, minimalist",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"trump in cyberpunk style, walking in Tokyo",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
high resolution photo of a happy surfer riding a wave in Sri Lanka with WaveAccess logo clearly visible on T-Shirt,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"A baby laying down in a crib , Os Gemeos -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
a logo of someone pouring water from a vase on planet earth,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"a photorealistic 4K image, of a psychotherapist in treatment with a child. The psychotherapist is smiling. The treatment takes place in a practice with a lot of flowers and a homely atmosphere in Skandi style. The child is excited and smiling slightly. There are windows in the background, the sky and individual trees are visible in the windows and the sun shines in.",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"logo for a series of dinners name soir\xe9es \xe0 la fran\xe7aise, French food, French wine, fun",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"Dirty Harry walking in the streets of San Francisco with his gun in his hand, animated show style, -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"website home page for a camera rental company, white, black, orange, minimalistic, modern, kodak portra 800, 32k -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"face, little bit twisted, agony , in collorfull flower bed, warhammer 40000, oil painting -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"roses,with long curly stems, with sunshine but not to bright behind them, like a view through a camera lens",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"a steampunk cat mechanic, portrait, pixel art style, transparent background -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
a logo for a branding agency named greybox creative. flat vector graphic. modern,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"lion and lioness running a marathon, pink, family",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"a still from a new wes anderson movie starring president joe biden as a lifeguard at a suburban town pool, frame grab, trailer -",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
a modern and minimalistic house in the woods with a padel court and lake view and a parked grey porsche 911,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"4k, full body, samurai with dragon on the background",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
a candles of your destiny -,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
generator in the forest,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"32-year-old Indian man, expressive brown eyes, wavy black hair, neatly trimmed beard, warm golden-brown skin, wearing a slim-fit shirt with subtle patterns, tailored pants, polished leather shoes, statement wristwatch, posing with intense posture, leaning slightly forward, furrowing brow, penetrating gaze, urban setting, Dubai skyline background, portrait captured in soft natural lighting, Cinestill 800T film, photorealistic detail, handsome, eye contact, ar 57 q 2 v 5",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"Nashville at night, neon signs, hatch show print, Nissan Stadium, Batman building, hyper real photography",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"water paint tiger, clean background, 4k",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"circle, pastel rainbow stained glass, with stained glass pastel rainbow fairy on the stained glass",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
paint a realistic and epic scene of a prime cowboy warframe suit. The suit is just like a cowboy and super cinematic,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"A biological expedition surprisingly finds modern brutalist architecture in the middle of an unihabited rainforest. High quality photography, expensive DSLR-camera. -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"human, needs, collorfull, oil painting, realistic -",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"robot with a cap, cyberpunk style, cinem\xe1tica light, detalles picture, fashion",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
A traditional japanese tattoo showing the samurai Musashi Miyamoto fighting with his sword,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
bar in the rooftop with reclaimed wood and tile. Tropical Graffiti walls,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
fantasy microtextured detailed narrow illustration for tattoo with shades of neon blue of falcon in flight fierce focus -,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"ExternalUrl , 3d, realistic, lovely family, Asian handsome husband and Asian cute wife with two pretty Asian daughters, Pixar style, 8k, soft lighting, blender, The man adult big eyes, short dark hair, light green t-shirt, good mood, laugh, The adult woman has long dark hair, side hair bang, shining smiling eyes, good mood, wears a white spaghetti dress, has two dimples, holds the 7 months baby woman. One daughter is three years old, has girly short hair, two braids on each side of her head, big eyes, two dimples, laugh, very happy, and wears a pink flower dress. The other daughter is a seven months old baby, has big eyes, good mood, very happy, wears a light purple dress, dark girly hair, super-resolution, 8k -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
background image of a vintage jungle cartoon HD,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"ExternalUrl  the character of a happy 17 year old man with red dreadlocks joyful facial expression and beautiful green eyes, top body expression, illustration in Elfen Lied style, full-color, flat illustration style, simple colors, textured, board drawing, procreate, Karolis Strautniekas, Mads Berg, Pixiv -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"ExternalUrl , add a dark background with dark trees forest and angelize the woman with wings in the middle of a gold waterflow full body",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"a DOG dressed as a RANDOM OCCUPATION, character, by David Roberts, artstation, behance hd, cgsociety, 3d, realistic, cosmic lights, galaxies, stunning, glowing, spirals, space, nebulae, stars, smoke, iridescent, intricate detail, realistic, detailed, 8k, high resolution, isolated on cosmic background, -",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
cartoon art style; a friendly green dinosaur in the blue police uniform; police bage on the uniform; background town;,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
realistic portrait of an axolotl and a fox in the style of American Gothic,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"ExternalUrl  dark classroom caricature, at 17 years old,wide angle full body shot - @andrewbrinkworth (fast)",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
a tiara inspired by house targaryen,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
high resolution hyper realistic watercolor and pencil drawing on print of real Bay of Napoli in Italy -,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"a very simple drawing of a burglar dressed in black and with a black cloth mask over his eyes, 4k, ultra realistic",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
realistic photo of naruto in a bamboo forest. -,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
tattoo artist at work,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"hyperreal, professional portrait, 36-year-old Dominican woman, friendly demeanor, 5\7 tall, light brown eyes, long dark brown curly hair, casual beach wear, warm caramel complexion, trendy form fitting tshirt and shorts, outdoors, natural light, punta cana beach background, intricate facial details, approachable expression, photorealism, beautiful, smiling, eye contact Use a Leica Summicron-M 28mm f/2.0 Lens ar 57 q 2 v 5",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
1940s war propaganda poster using terran marine from starcraft 2,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"a gnome with a pose in an old forest that is illuminated in purple,",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"fashion model, stunning beautiful, young woman wearing running outfit, scantily dressed. Jogging in Abby Road, London. Model looks; long black hair, blue eyes, good shapes, looks like a mix of Mila Kunis and Carmen Electra. Photography style like Annie Leibovitz, full body photo, instagram flirty, cinematic, extreme details, high quality, photo realisti, 8k, octane render, 35mm, Establishing shot, shot from above, f/2.8, -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"oil painting with brush marks, , in royal court of aliens wearing human royal robes, in large grand musuem looking at paintings and sculptures, rennaisance painting, grand musuem with small people and large scultpures of insects and aliens",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"Vogue magazine shoot of an attractive woman tennis player aged 15, tall blonde with blue eyes and lightly curled that flows just beneath the shoulder, wearing a classic old wealth aesthetics low neck tennis dress with mini skirt in light pastel colours, standing and posing on the grass tennis court with eyes looking into the camera, on a warm sunny morning, photo from below full body shot to include the feet, long shot, Color Grading, Depth of Field, dynamic composition, ultra detailed photography, ultra-defined, beautiful detail, atmospheric, cinematic, dramatic lighting, photorealistic, Sony Alpha a7 8k Leica m 35mm lense, Tilt Blur, Shutter Speed 1/ 1000, F/ 22, Super - Resolution, Megapixel, -",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"realistic painting of jesus nailed to the cross, red clouds, hyper realistic detail 4k -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"Street style full-body photo of a blondy woman wears nike pink outfit , shot on Fujifilm 400, natural lighting, instagram style -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"Goliath race from dungeons and dragons, barbarian causing havoc to a village, wielding greataxe above head",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"a vintage barbershop logo for the theme of basement barber, dark green, 4k, high resolution",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"a cool dad, black hair, sunglasses, about 50 years, driving an old mercedes SL cabriolet in silver on a highway in miami in the morning",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"jesus christ playing a 7 string guitar, in front of a cross, with a backing rock band hyperealistic 8k -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"old woman laying on large rocks beside a river, in the style of Melanie Rush, -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"mascot, cartoon, masculine, balikbayan box, 60 years old, filipino",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"youre a curator, top class exhibition designer, tasked to design an exhibition space for an group exhibit about Cyberfeminism, render, ultra realistic -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"a chair made from the skin of a corgi dog hyper realistic, photorealistic, super resolution, super detailed photography incredibly detailed, insanely detailed and intricate, 8k -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
lion father,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"eypt pyramids, rain, dessert on fire in the shape of a pentagraml,, cinematic, anamorphic, perfect perspective, photorealistic, fire, smoke, fullbody, guns, wide angle movie still, fire, smoke birds eye view, 1980s -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
Dollars transforming into stars in the sky represented as a watercolor painting; inspired by J.M.W. Turner; the scene shows a dreamy night sky with dollars swirling and transforming into shimmering stars; cool color temperature; no faces; diffused lighting; serene atmosphere-,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"a spacious world of automation with a lot of orange sensors and cables, photorealistic, 3d, realistic",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Photography, street photography, night street photography, neon signs, Tokyo night, a small Japanese restaurant in Tokyo, front view, in detail, Yuto Yamada photography style, cinematic light, long exposure, beautiful light, dramatic light, extremely detailed and realistic -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"pastel rainbow small horse, with light blue hoofs",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"horse, running, ultra realistic -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"a room staged for a photoshoot, hooped assorted flowers circle the backdrop, candles glow, romantic mood lighting, flowers on the floor, Unreal render, Ultra realistic, -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"bee, with small top hat resting in Elon Musks shoulder, cartoon, detailed cartoon, cute, kawai",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"half man, half horse, hyperreal, q 2 v 5",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"create a stunning photo-realistic portrait, waist up to head, of Brandon Prust the former NHL hockey player in semi formal attire, smiling in a transparent background with a 25mm lens, achieve a depth of field with tilt blur and a shutter speed of 1/1000 and f/22. Aim for a photorealistic look with 32k resolution, no words, 8k, HD, cinematography, photorealistic, epic composition, Unreal Engine, Color Grading, interesting angle, cinematic view, 35mm kodak film grain, hyper-detailed, beautifully color-coded, insane details, intricate details, Editorial Photography, Photography, Depth of Field, Tilt Blur, Super-Resolution, Megapixel, ProPhoto RGB, VR, Half rear Lighting Backlight, Dramatic Lighting, Incandescent, Optical Fiber, Moody Lighting, Soft Lighting,",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"Sagrada Familia - epic view of Sagrada Familia with neon leds on the columns, in a storm, cyberpunk",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"digital gravity, saturn, music,camera , synthesizer, computer",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"pope balensiaga, Porsche, 8k, HD, CINEMA -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
steampunk zombie on super fast rocket motorcycle in cosmic futuristic city photorealistic cinematic dramatic lighting v5 Highly Detailed kodak VISION3 500T,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
A 1980s photograph of a hot air balloon flying over the serengeti. A middle aged man is saving a woman who has falllen out of the basket. A thirteen year old woman smiles and waves at the camera unaware.,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"serpent, apple, vintage label, biblical, bunch of grapes, vine",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
a beatiful spanish woman drinking a glass of red wine on a balcony with views if the opera house in sydney,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
President Biden in a suit sitting down playing chess against Putin,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"A beautiful woman dressed as a viking,low cut top, temptation, armor, Nordic tattoos, beautiful, long hair, mountains, snow, wet, dirty, photography, real, Photorealistic -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"ExternalUrl  Charles is crowned, the crown is in yout head, the crown bright.",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"draw a real woman, size D, tall, ancient egyptian, wild curly hair, jumping rope, 1800s inter planetary, eating a whopper -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
kraken,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"paper quilling, paper cutout tropical flowers",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"realistic photo of legendary Pok\xe9mon Rayquaza flying in the sky, with lightning dancing around it",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
ExternalUrl  A banquet hall with banquet tables covered in white table clothes and in the center of each banquet table is a glass vase and tied to each glass vase are 3 foot strings holding floating helium balloons that are pastel colored. Wide angle shot. By Paul Madonna. -,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Portrait, Caucasian 40y man, with beard, oval eyeglasses, smiling, 30s hat, green eyes, black and white picture, cinematographic lights, smoking cigar, Nikon, F 4, iso 100, -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
Realistic image of a Titanfall mech at the window of a Starbucks drive-through. The pod is open and the pilot is reaching down to grab the coffee. The camera view is in front of and to the right of the mech at a distance of about 60 feet.,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"beautiful, sad, young woman seems to have a lot on her mind. realitic photo.",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"A guy in a crown with an athletic build, open torso, hairy body. Another guy open torso, 20 years old, wearing a wreath with flowers, athletic build. Kissing, passion, love. -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"cartoon dragon hugging a cartoon wolf, cute, bright, high resolution, high detail",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
drawing style,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Photorealistic version of Donald Trump crying on the playground as a bunch of 9-year-olds tease him, dramatic composition and lighting",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"Simple Logo, Vector, Color blocking, sunflower ExternalUrl ",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"Cartoon, digital art, highly detailed, full body, wide angle, intricate, Tom Petty 1975 Self portrait with long hair and a purple velvet Mad Hatter hat with a Third Eye on the top middle of it and a long, fat joint with billowing smoke around the face -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
A 90s photo of a mob of grannies with guns running through an urban road. Side view. -,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
ExternalUrl  keep the exact photo and quality but change the color of the trousers to black,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"Brasileira wearing modern, realistic, with elegant, futuristic, long and draped dress, floor level, smile, metal dress, long shot, 12, taken using a Canon EOS R camera with a 50mm f/1.8 lens, f/2.2 aperture, shutter speed 1/ 200s, ISO 100 and natural light, Full Body, Hyper Realistic Photography, Cinematic, Cinema, Hyperdetail, UHD, Color Correction, hdr, color grading, hyper realistic CG animation -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
messi kissing cristina kirchner in the lips,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
"Filter, sine wave graph, green sine wave on the left, blue sine wave on the right, symmetric graph HD realistic-",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"Brasileira wearing modern, realistic, with elegant, futuristic, long and draped dress, floor level, smile, metal dress, long shot, 12, taken using a Canon EOS R camera with a 50mm f/1.8 lens, f/2.2 aperture, shutter speed 1/ 200s, ISO 100 and natural light, Full Body, Hyper Realistic Photography, Cinematic, Cinema, Hyperdetail, UHD, Color Correction, hdr, color grading, hyper realistic CG animation -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"the surface of the moon, space shuttle in background, cinema render , hyperrealistic, photorealistic, highly detailed, -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
anatomy illustration of a medical Musculoskeletal system fully visible front-facing ar 169 -,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"a young man standing, wearing the flag of Yemen on his shoulder, he is watching over how sad is the war in Yemen, Shot on a Canon EOS R5 with a 24mm lens, f/1.8, 1/100 shutter speed, and ISO 400. The lighting is a combination of soft and hard light, highlighting the intricate details of the city while also casting dramatic rain. The photo is edited in Lightroom and Photoshop to enhance the colors and details, with a focus on realism and photorealism, realistic style -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
